    0.108E+02  0.415E+00  0.890E-03  0.343E-01  0.438E+00  0.229E+00  0.131E-01  0.299E+00  0.321E+00  0.429E+00  0.116E-01  0.491E+00  0.335E+00  0.594E+00
    0.132E+02  0.457E+00  0.150E-02  0.409E-01  0.442E+00  0.262E+00  0.131E-01  0.326E+00  0.363E+00  0.465E+00  0.993E-02  0.511E+00  0.386E+00  0.627E+00
    0.168E+02  0.506E+00  0.210E-02  0.454E-01  0.493E+00  0.323E+00  0.113E-01  0.347E+00  0.408E+00  0.565E+00  0.754E-02  0.561E+00  0.413E+00  0.606E+00
    0.216E+02  0.557E+00  0.410E-02  0.477E-01  0.540E+00  0.351E+00  0.101E-01  0.403E+00  0.468E+00  0.613E+00  0.119E-01  0.618E+00  0.483E+00  0.659E+00
    0.264E+02  0.600E+00  0.680E-02  0.513E-01  0.558E+00  0.392E+00  0.827E-02  0.429E+00  0.494E+00  0.657E+00  0.112E-01  0.713E+00  0.579E+00  0.704E+00
    0.320E+02  0.644E+00  0.920E-02  0.551E-01  0.594E+00  0.411E+00  0.114E-01  0.504E+00  0.544E+00  0.720E+00  0.115E-01  0.741E+00  0.611E+00  0.696E+00
    0.384E+02  0.684E+00  0.130E-01  0.590E-01  0.615E+00  0.472E+00  0.131E-01  0.503E+00  0.583E+00  0.765E+00  0.128E-01  0.786E+00  0.644E+00  0.756E+00
    0.448E+02  0.746E+00  0.150E-01  0.640E-01  0.664E+00  0.474E+00  0.137E-01  0.547E+00  0.586E+00  0.830E+00  0.723E-02  0.856E+00  0.658E+00  0.736E+00
    0.544E+02  0.803E+00  0.130E-01  0.690E-01  0.652E+00  0.520E+00  0.773E-02  0.547E+00  0.642E+00  0.841E+00  0.147E-01  0.864E+00  0.713E+00  0.797E+00
    0.672E+02  0.785E+00  0.150E-01  0.680E-01  0.679E+00  0.551E+00  0.949E-02  0.583E+00  0.689E+00  0.868E+00  0.101E-01  0.920E+00  0.764E+00  0.794E+00
    0.800E+02  0.823E+00  0.180E-01  0.720E-01  0.729E+00  0.553E+00  0.803E-02  0.628E+00  0.697E+00  0.897E+00  0.540E-02  0.898E+00  0.798E+00  0.804E+00
    0.950E+02  0.847E+00  0.240E-01  0.740E-01  0.743E+00  0.571E+00  0.645E-02  0.651E+00  0.692E+00  0.923E+00  0.804E-02  0.915E+00  0.824E+00  0.859E+00
