    0.939E+01  0.365E+00  0.438E-02  0.204E-01  0.175E+00  0.163E+00  0.178E+00  0.339E+00
    0.108E+02  0.398E+00  0.390E-02  0.227E-01  0.190E+00  0.177E+00  0.194E+00  0.357E+00
    0.123E+02  0.428E+00  0.471E-02  0.244E-01  0.207E+00  0.195E+00  0.213E+00  0.379E+00
    0.141E+02  0.455E+00  0.546E-02  0.255E-01  0.228E+00  0.213E+00  0.234E+00  0.401E+00
    0.162E+02  0.483E+00  0.628E-02  0.275E-01  0.251E+00  0.234E+00  0.257E+00  0.423E+00
    0.186E+02  0.529E+00  0.793E-02  0.302E-01  0.275E+00  0.256E+00  0.278E+00  0.442E+00
    0.214E+02  0.557E+00  0.100E-01  0.323E-01  0.299E+00  0.278E+00  0.297E+00  0.458E+00
    0.244E+02  0.589E+00  0.118E-01  0.348E-01  0.324E+00  0.302E+00  0.322E+00  0.474E+00
    0.281E+02  0.593E+00  0.119E-01  0.338E-01  0.341E+00  0.321E+00  0.343E+00  0.487E+00
    0.339E+02  0.680E+00  0.109E-01  0.388E-01  0.376E+00  0.352E+00  0.376E+00  0.505E+00
    0.426E+02  0.719E+00  0.129E-01  0.431E-01  0.408E+00  0.384E+00  0.408E+00  0.534E+00
    0.536E+02  0.753E+00  0.136E-01  0.527E-01  0.442E+00  0.420E+00  0.441E+00  0.555E+00
    0.675E+02  0.773E+00  0.240E-01  0.557E-01  0.477E+00  0.450E+00  0.473E+00  0.578E+00
    0.850E+02  0.814E+00  0.415E-01  0.619E-01  0.496E+00  0.473E+00  0.496E+00  0.582E+00
