    0.108E+02  0.187E+00  0.360E-03  0.169E-01  0.105E+00  0.961E-01  0.110E+00  0.197E+00
    0.132E+02  0.225E+00  0.710E-03  0.226E-01  0.127E+00  0.116E+00  0.133E+00  0.225E+00
    0.168E+02  0.275E+00  0.100E-02  0.276E-01  0.158E+00  0.144E+00  0.163E+00  0.260E+00
    0.216E+02  0.315E+00  0.210E-02  0.315E-01  0.191E+00  0.176E+00  0.194E+00  0.295E+00
    0.264E+02  0.350E+00  0.360E-02  0.351E-01  0.223E+00  0.206E+00  0.224E+00  0.323E+00
    0.320E+02  0.396E+00  0.510E-02  0.397E-01  0.252E+00  0.233E+00  0.256E+00  0.354E+00
    0.384E+02  0.446E+00  0.750E-02  0.447E-01  0.287E+00  0.265E+00  0.290E+00  0.387E+00
    0.448E+02  0.509E+00  0.910E-02  0.500E-01  0.307E+00  0.286E+00  0.313E+00  0.404E+00
    0.544E+02  0.570E+00  0.800E-02  0.561E-01  0.341E+00  0.320E+00  0.347E+00  0.437E+00
    0.672E+02  0.601E+00  0.120E-01  0.600E-01  0.376E+00  0.356E+00  0.379E+00  0.466E+00
    0.800E+02  0.671E+00  0.130E-01  0.660E-01  0.403E+00  0.381E+00  0.405E+00  0.488E+00
    0.950E+02  0.743E+00  0.200E-01  0.740E-01  0.433E+00  0.408E+00  0.433E+00  0.512E+00
