    0.108E+02  0.415E+00  0.890E-03  0.343E-01  0.199E+00  0.185E+00  0.203E+00  0.354E+00
    0.132E+02  0.457E+00  0.150E-02  0.409E-01  0.231E+00  0.214E+00  0.234E+00  0.388E+00
    0.168E+02  0.506E+00  0.210E-02  0.454E-01  0.267E+00  0.252E+00  0.274E+00  0.421E+00
    0.216E+02  0.557E+00  0.410E-02  0.477E-01  0.320E+00  0.293E+00  0.316E+00  0.461E+00
    0.264E+02  0.600E+00  0.680E-02  0.513E-01  0.354E+00  0.332E+00  0.356E+00  0.486E+00
    0.320E+02  0.644E+00  0.920E-02  0.551E-01  0.385E+00  0.366E+00  0.386E+00  0.520E+00
    0.384E+02  0.684E+00  0.130E-01  0.590E-01  0.423E+00  0.403E+00  0.423E+00  0.546E+00
    0.448E+02  0.746E+00  0.150E-01  0.640E-01  0.449E+00  0.426E+00  0.452E+00  0.558E+00
    0.544E+02  0.803E+00  0.130E-01  0.690E-01  0.484E+00  0.460E+00  0.482E+00  0.582E+00
    0.672E+02  0.785E+00  0.150E-01  0.680E-01  0.524E+00  0.491E+00  0.514E+00  0.612E+00
    0.800E+02  0.823E+00  0.180E-01  0.720E-01  0.542E+00  0.526E+00  0.540E+00  0.626E+00
    0.950E+02  0.847E+00  0.240E-01  0.740E-01  0.565E+00  0.548E+00  0.560E+00  0.645E+00
