central: 	4.60563745098 +\- 0.341580113561 	0.654986089442 +\- 0.300386839574 	
JECM: 	4.33519099661 +\- 0.383980569499 	0.947863146382 +\- 0.344097757928 	
JECP: 	4.7139174669 +\- 0.300413013454 	0.462527430453 +\- 0.258189818127 	
w30Mmt: 	4.80188747287 +\- 0.258994655856 	0.408203535798 +\- 0.224510462819 	
w30Pmt: 	4.47570160529 +\- 0.385972003615 	0.827160810129 +\- 0.343445562182 	
w30mtM: 	4.66962073494 +\- 0.260769331214 	0.492037921366 +\- 0.227142267147 	
w30mtP: 	4.55167776987 +\- 0.287661294618 	0.804998176827 +\- 0.25615024962 	
mad-d6t: 	4.09625048298 +\- 0.259094410344 	0.911282768288 +\- 0.229524289732 	
pyth-z2: 	3.56205152179 +\- 0.341517401565 	1.30974500853 +\- 0.307772867858 	
