    0.108E+02  0.187E+00  0.360E-03  0.169E-01  0.240E+00  0.840E-01  0.112E+00  0.112E+00  0.157E+00  0.963E-01  0.711E-01  0.895E-01  0.255E+00  0.167E+00  0.222E+00  0.865E-01  0.822E-01  0.125E+00  0.133E+00  0.928E-01  0.213E+00  0.175E+00  0.966E-01  0.216E+00  0.111E+00  0.130E+00  0.145E+00  0.110E+00  0.149E+00  0.121E+00  0.114E+00  0.162E+00  0.174E+00  0.859E-01  0.341E+00  0.202E+00  0.831E-01  0.340E+00  0.105E+00  0.101E+00  0.190E+00  0.750E-01  0.147E+00  0.200E+00
    0.132E+02  0.225E+00  0.710E-03  0.226E-01  0.264E+00  0.101E+00  0.118E+00  0.127E+00  0.183E+00  0.109E+00  0.853E-01  0.107E+00  0.275E+00  0.188E+00  0.240E+00  0.103E+00  0.911E-01  0.143E+00  0.146E+00  0.103E+00  0.234E+00  0.198E+00  0.116E+00  0.223E+00  0.127E+00  0.142E+00  0.158E+00  0.127E+00  0.164E+00  0.141E+00  0.126E+00  0.180E+00  0.197E+00  0.962E-01  0.370E+00  0.219E+00  0.963E-01  0.360E+00  0.117E+00  0.118E+00  0.222E+00  0.870E-01  0.158E+00  0.212E+00
    0.168E+02  0.275E+00  0.100E-02  0.276E-01  0.319E+00  0.123E+00  0.147E+00  0.154E+00  0.219E+00  0.136E+00  0.108E+00  0.137E+00  0.317E+00  0.228E+00  0.289E+00  0.130E+00  0.121E+00  0.174E+00  0.181E+00  0.130E+00  0.288E+00  0.235E+00  0.148E+00  0.269E+00  0.159E+00  0.171E+00  0.193E+00  0.159E+00  0.204E+00  0.175E+00  0.158E+00  0.213E+00  0.250E+00  0.125E+00  0.430E+00  0.257E+00  0.119E+00  0.410E+00  0.144E+00  0.148E+00  0.259E+00  0.113E+00  0.192E+00  0.248E+00
    0.216E+02  0.315E+00  0.210E-02  0.315E-01  0.365E+00  0.160E+00  0.179E+00  0.189E+00  0.267E+00  0.174E+00  0.136E+00  0.164E+00  0.368E+00  0.271E+00  0.321E+00  0.162E+00  0.146E+00  0.214E+00  0.208E+00  0.159E+00  0.340E+00  0.275E+00  0.183E+00  0.310E+00  0.197E+00  0.208E+00  0.230E+00  0.194E+00  0.239E+00  0.210E+00  0.198E+00  0.254E+00  0.288E+00  0.155E+00  0.477E+00  0.300E+00  0.156E+00  0.452E+00  0.175E+00  0.180E+00  0.301E+00  0.141E+00  0.233E+00  0.290E+00
    0.264E+02  0.350E+00  0.360E-02  0.351E-01  0.402E+00  0.186E+00  0.208E+00  0.218E+00  0.301E+00  0.200E+00  0.160E+00  0.198E+00  0.410E+00  0.315E+00  0.365E+00  0.199E+00  0.170E+00  0.247E+00  0.241E+00  0.186E+00  0.374E+00  0.316E+00  0.213E+00  0.343E+00  0.226E+00  0.235E+00  0.259E+00  0.223E+00  0.263E+00  0.248E+00  0.224E+00  0.286E+00  0.323E+00  0.176E+00  0.528E+00  0.331E+00  0.183E+00  0.494E+00  0.202E+00  0.214E+00  0.348E+00  0.170E+00  0.263E+00  0.328E+00
    0.320E+02  0.396E+00  0.510E-02  0.397E-01  0.442E+00  0.229E+00  0.242E+00  0.251E+00  0.347E+00  0.235E+00  0.192E+00  0.235E+00  0.461E+00  0.359E+00  0.414E+00  0.232E+00  0.209E+00  0.291E+00  0.275E+00  0.223E+00  0.427E+00  0.362E+00  0.254E+00  0.384E+00  0.265E+00  0.272E+00  0.296E+00  0.270E+00  0.305E+00  0.287E+00  0.267E+00  0.326E+00  0.371E+00  0.215E+00  0.571E+00  0.372E+00  0.214E+00  0.548E+00  0.239E+00  0.257E+00  0.388E+00  0.199E+00  0.300E+00  0.365E+00
    0.384E+02  0.446E+00  0.750E-02  0.447E-01  0.488E+00  0.258E+00  0.274E+00  0.285E+00  0.395E+00  0.267E+00  0.222E+00  0.268E+00  0.490E+00  0.390E+00  0.446E+00  0.265E+00  0.238E+00  0.328E+00  0.314E+00  0.254E+00  0.473E+00  0.404E+00  0.285E+00  0.422E+00  0.302E+00  0.309E+00  0.332E+00  0.300E+00  0.348E+00  0.320E+00  0.303E+00  0.362E+00  0.411E+00  0.245E+00  0.614E+00  0.409E+00  0.245E+00  0.576E+00  0.272E+00  0.287E+00  0.425E+00  0.232E+00  0.337E+00  0.405E+00
    0.448E+02  0.509E+00  0.910E-02  0.500E-01  0.529E+00  0.288E+00  0.302E+00  0.320E+00  0.427E+00  0.304E+00  0.252E+00  0.299E+00  0.526E+00  0.433E+00  0.492E+00  0.297E+00  0.267E+00  0.366E+00  0.350E+00  0.281E+00  0.512E+00  0.438E+00  0.320E+00  0.478E+00  0.336E+00  0.347E+00  0.365E+00  0.334E+00  0.376E+00  0.362E+00  0.323E+00  0.407E+00  0.461E+00  0.269E+00  0.651E+00  0.444E+00  0.281E+00  0.598E+00  0.305E+00  0.323E+00  0.462E+00  0.264E+00  0.374E+00  0.436E+00
    0.544E+02  0.570E+00  0.800E-02  0.561E-01  0.578E+00  0.335E+00  0.351E+00  0.367E+00  0.476E+00  0.342E+00  0.297E+00  0.341E+00  0.587E+00  0.478E+00  0.527E+00  0.344E+00  0.306E+00  0.410E+00  0.392E+00  0.325E+00  0.557E+00  0.483E+00  0.364E+00  0.506E+00  0.380E+00  0.387E+00  0.413E+00  0.386E+00  0.427E+00  0.401E+00  0.376E+00  0.447E+00  0.499E+00  0.315E+00  0.692E+00  0.510E+00  0.320E+00  0.659E+00  0.354E+00  0.374E+00  0.514E+00  0.311E+00  0.418E+00  0.494E+00
    0.672E+02  0.601E+00  0.120E-01  0.600E-01  0.617E+00  0.376E+00  0.390E+00  0.403E+00  0.533E+00  0.386E+00  0.330E+00  0.389E+00  0.614E+00  0.532E+00  0.581E+00  0.388E+00  0.352E+00  0.449E+00  0.435E+00  0.361E+00  0.607E+00  0.524E+00  0.408E+00  0.548E+00  0.419E+00  0.421E+00  0.458E+00  0.429E+00  0.474E+00  0.447E+00  0.418E+00  0.497E+00  0.536E+00  0.355E+00  0.736E+00  0.539E+00  0.356E+00  0.700E+00  0.387E+00  0.411E+00  0.555E+00  0.343E+00  0.460E+00  0.527E+00
