"A" "B" "C" "D"
0.273 1.607 0.153 4.797
0.39 2.303 0.078 2.505
0.231 2.749 0.041 0.955
0.167 4.208 0.042 4.377
0.362 0.788 0.289 2.7
0.344 3.368 0.323 1.537
0.068 2.976 0.347 1.407
0.016 2.473 0.263 4.062
0.139 1.336 0.393 2.894
0.175 4.956 0.221 1.04
0.323 3.837 0.203 4.655
0.045 1.173 0.129 1.815
0.306 4.639 0.113 2.35
0.117 1.972 0.009 3.796
0.022 3.615 0.085 1.981
0.102 4.449 0.3 3.472
0.283 3.292 0.361 3.885
0.238 1.838 0.245 0.543
0.2 0.579 0.183 3.135
0 2.5 0 2.5
