Type                                  Module                      Label             Process   
BXVector<l1t::Muon>                   "gtStage2Digis"             "Muon3"           "RECO"    
BXVector<l1t::Muon>                   "gtStage2Digis"             "Muon4"           "RECO"    
BXVector<l1t::Muon>                   "gtStage2Digis"             "Muon5"           "RECO"    
BXVector<l1t::Muon>                   "gtStage2Digis"             "Muon6"           "RECO"    
BXVector<l1t::Muon>                   "gmtStage2Digis"            "MuonCopy1"       "RECO"    
BXVector<l1t::Muon>                   "gmtStage2Digis"            "MuonCopy2"       "RECO"    
BXVector<l1t::Muon>                   "gmtStage2Digis"            "MuonCopy3"       "RECO"    
BXVector<l1t::Muon>                   "gmtStage2Digis"            "MuonCopy4"       "RECO"    
BXVector<l1t::Muon>                   "gmtStage2Digis"            "MuonCopy5"       "RECO"    
BXVector<l1t::Muon>                   "gmtStage2Digis"            "imdMuonsBMTF"    "RECO"    
BXVector<l1t::Muon>                   "gmtStage2Digis"            "imdMuonsEMTFNeg"   "RECO"    
BXVector<l1t::Muon>                   "gmtStage2Digis"            "imdMuonsEMTFPos"   "RECO"    
BXVector<l1t::Muon>                   "gmtStage2Digis"            "imdMuonsOMTFNeg"   "RECO"    
BXVector<l1t::Muon>                   "gmtStage2Digis"            "imdMuonsOMTFPos"   "RECO"    
BXVector<l1t::MuonShower>             "gmtStage2Digis"            "MuonShower"      "RECO"    
BXVector<l1t::MuonShower>             "gtStage2Digis"             "MuonShower"      "RECO"    
BXVector<l1t::MuonShower>             "gtStage2Digis"             "MuonShower2"     "RECO"    
BXVector<l1t::MuonShower>             "gtStage2Digis"             "MuonShower3"     "RECO"    
BXVector<l1t::MuonShower>             "gtStage2Digis"             "MuonShower4"     "RECO"    
BXVector<l1t::MuonShower>             "gtStage2Digis"             "MuonShower5"     "RECO"    
BXVector<l1t::MuonShower>             "gtStage2Digis"             "MuonShower6"     "RECO"    
BXVector<l1t::MuonShower>             "gmtStage2Digis"            "MuonShowerCopy1"   "RECO"    
BXVector<l1t::MuonShower>             "gmtStage2Digis"            "MuonShowerCopy2"   "RECO"    
BXVector<l1t::MuonShower>             "gmtStage2Digis"            "MuonShowerCopy3"   "RECO"    
BXVector<l1t::MuonShower>             "gmtStage2Digis"            "MuonShowerCopy4"   "RECO"    
BXVector<l1t::MuonShower>             "gmtStage2Digis"            "MuonShowerCopy5"   "RECO"    
BXVector<l1t::RegionalMuonCand>       "gmtStage2Digis"            "BMTF"            "RECO"    
BXVector<l1t::RegionalMuonCand>       "gmtStage2Digis"            "EMTF"            "RECO"    
BXVector<l1t::RegionalMuonCand>       "gmtStage2Digis"            "OMTF"            "RECO"    
BXVector<l1t::RegionalMuonShower>     "gmtStage2Digis"            "EMTF"            "RECO"    
BXVector<l1t::Tau>                    "caloStage2Digis"           "MP"              "RECO"    
BXVector<l1t::Tau>                    "caloStage2Digis"           "Tau"             "RECO"    
BXVector<l1t::Tau>                    "gtStage2Digis"             "Tau"             "RECO"    
BXVector<l1t::Tau>                    "gtStage2Digis"             "Tau2"            "RECO"    
BXVector<l1t::Tau>                    "gtStage2Digis"             "Tau3"            "RECO"    
BXVector<l1t::Tau>                    "gtStage2Digis"             "Tau4"            "RECO"    
BXVector<l1t::Tau>                    "gtStage2Digis"             "Tau5"            "RECO"    
BXVector<l1t::Tau>                    "gtStage2Digis"             "Tau6"            "RECO"    
CTPPSRecord                           "onlineMetaDataDigis"       ""                "RECO"    
ClusterSummary                        "clusterSummaryProducer"    ""                "RECO"    
DCSRecord                             "onlineMetaDataDigis"       ""                "RECO"    
EBDigiCollection                      "selectDigi"                "selectedEcalEBDigiCollection"   "RECO"    
EEDigiCollection                      "selectDigi"                "selectedEcalEEDigiCollection"   "RECO"    
HcalDataFrameContainer<QIE10DataFrame>    "hcalDigis"                 "ZDC"             "RECO"    
HcalNoiseSummary                      "hcalnoise"                 ""                "RECO"    
HcalUnpackerReport                    "hcalDigis"                 ""                "RECO"    
L1GlobalTriggerReadoutRecord          "gtDigis"                   ""                "RECO"    
OnlineLuminosityRecord                "onlineMetaDataDigis"       ""                "RECO"    
TCDSRecord                            "tcdsDigis"                 "tcdsRecord"      "RECO"    
TotemTriggerCounters                  "totemTriggerRawToDigi"     ""                "RECO"    
double                                "fixedGridRhoAll"           ""                "RECO"    
double                                "fixedGridRhoFastjetAll"    ""                "RECO"    
double                                "fixedGridRhoFastjetAllCalo"   ""                "RECO"    
double                                "fixedGridRhoFastjetAllTmp"   ""                "RECO"    
double                                "fixedGridRhoFastjetCentral"   ""                "RECO"    
double                                "fixedGridRhoFastjetCentralCalo"   ""                "RECO"    
double                                "fixedGridRhoFastjetCentralChargedPileUp"   ""                "RECO"    
double                                "fixedGridRhoFastjetCentralNeutral"   ""                "RECO"    
double                                "ak4CaloJets"               "rho"             "RECO"    
double                                "ak4PFJets"                 "rho"             "RECO"    
double                                "ak4PFJetsCHS"              "rho"             "RECO"    
double                                "akCs4PFJets"               "rho"             "RECO"    
double                                "akPu3PFJets"               "rho"             "RECO"    
double                                "akPu4CaloJets"             "rho"             "RECO"    
double                                "akPu4PFJets"               "rho"             "RECO"    
double                                "kt4PFJetsForRho"           "rho"             "RECO"    
double                                "ak4CaloJets"               "sigma"           "RECO"    
double                                "ak4PFJets"                 "sigma"           "RECO"    
double                                "ak4PFJetsCHS"              "sigma"           "RECO"    
double                                "akCs4PFJets"               "sigma"           "RECO"    
double                                "akPu3PFJets"               "sigma"           "RECO"    
double                                "akPu4CaloJets"             "sigma"           "RECO"    
double                                "akPu4PFJets"               "sigma"           "RECO"    
double                                "kt4PFJetsForRho"           "sigma"           "RECO"    
edm::Association<vector<reco::DeDxHitInfo> >    "dedxHitInfo"               ""                "RECO"    
edm::Association<vector<reco::Track> >    "lowPtGsfToTrackLinks"      ""                "RECO"    
edm::Association<vector<reco::TrackExtra> >    "displacedMuonReducedTrackExtras"   ""                "RECO"    
edm::Association<vector<reco::TrackExtra> >    "muonReducedTrackExtras"    ""                "RECO"    
edm::Association<vector<reco::Vertex> >    "offlinePrimaryVertices"    ""                "RECO"    
edm::Association<vector<reco::Vertex> >    "offlinePrimaryVerticesWithBS"   ""                "RECO"    
edm::AssociationMap<edm::OneToOne<vector<reco::SuperCluster>,vector<reco::HFEMClusterShape>,unsigned int> >    "hfEMClusters"              ""                "RECO"    
edm::AssociationMap<edm::OneToOne<vector<reco::Track>,vector<reco::Track>,unsigned int> >    "tevMuons"                  "default"         "RECO"    
edm::AssociationMap<edm::OneToOne<vector<reco::Track>,vector<reco::Track>,unsigned int> >    "tevMuons"                  "dyt"             "RECO"    
edm::AssociationMap<edm::OneToOne<vector<reco::Track>,vector<reco::Track>,unsigned int> >    "tevMuons"                  "firstHit"        "RECO"    
edm::AssociationMap<edm::OneToOne<vector<reco::Track>,vector<reco::Track>,unsigned int> >    "tevMuons"                  "picky"           "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<edm::RefVector<vector<reco::Track>,reco::Track,edm::refhelper::FindUsingAdvance<vector<reco::Track>,reco::Track> > >,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "ak4JetTracksAssociatorAtVertex"   ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<edm::RefVector<vector<reco::Track>,reco::Track,edm::refhelper::FindUsingAdvance<vector<reco::Track>,reco::Track> > >,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "ak4JetTracksAssociatorAtVertexPF"   ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "pfChargeBJetTags"          ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "pfCombinedCvsBJetTags"     ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "pfCombinedCvsLJetTags"     ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "pfCombinedInclusiveSecondaryVertexV2BJetTags"   ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "pfCombinedMVAV2BJetTags"   ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "pfCombinedSecondaryVertexV2BJetTags"   ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "pfGhostTrackBJetTags"      ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "pfJetBProbabilityBJetTags"   ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "pfJetProbabilityBJetTags"   ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "pfSimpleInclusiveSecondaryVertexHighEffBJetTags"   ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "pfSimpleSecondaryVertexHighEffBJetTags"   ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "pfTrackCountingHighEffBJetTags"   ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "softPFElectronBJetTags"    ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "softPFMuonBJetTags"        ""                "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "pfDeepCMVAJetTags"         "probb"           "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "pfDeepCSVJetTags"          "probb"           "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "pfDeepCMVAJetTags"         "probbb"          "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "pfDeepCSVJetTags"          "probbb"          "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "pfDeepCMVAJetTags"         "probc"           "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "pfDeepCSVJetTags"          "probc"           "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "pfDeepCMVAJetTags"         "probcc"          "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "pfDeepCMVAJetTags"         "probudsg"        "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<float>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "pfDeepCSVJetTags"          "probudsg"        "RECO"    
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<reco::JetExtendedAssociation::JetExtendedData>,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "ak4JetExtender"            ""                "RECO"    
edm::DetSetVector<CTPPSDiamondDigi>    "ctppsDiamondRawToDigi"     "TimingDiamond"   "RECO"    
edm::DetSetVector<CTPPSDiamondLocalTrack>    "ctppsDiamondLocalTracks"   ""                "RECO"    
edm::DetSetVector<CTPPSDiamondRecHit>    "ctppsDiamondRecHits"       ""                "RECO"    
edm::DetSetVector<CTPPSPixelCluster>    "ctppsPixelClusters"        ""                "RECO"    
edm::DetSetVector<CTPPSPixelDataError>    "ctppsPixelDigis"           ""                "RECO"    
edm::DetSetVector<CTPPSPixelDigi>     "ctppsPixelDigis"           ""                "RECO"    
edm::DetSetVector<CTPPSPixelLocalTrack>    "ctppsPixelLocalTracks"     ""                "RECO"    
edm::DetSetVector<CTPPSPixelRecHit>    "ctppsPixelRecHits"         ""                "RECO"    
edm::DetSetVector<TotemRPCluster>     "totemRPClusterProducer"    ""                "RECO"    
edm::DetSetVector<TotemRPDigi>        "totemRPRawToDigi"          "TrackingStrip"   "RECO"    
edm::DetSetVector<TotemRPLocalTrack>    "totemRPLocalTrackFitter"   ""                "RECO"    
edm::DetSetVector<TotemRPRecHit>      "totemRPRecHitProducer"     ""                "RECO"    
edm::DetSetVector<TotemRPUVPattern>    "totemRPUVPatternFinder"    ""                "RECO"    
edm::DetSetVector<TotemTimingDigi>    "totemTimingRawToDigi"      "TotemTiming"     "RECO"    
edm::DetSetVector<TotemTimingLocalTrack>    "diamondSampicLocalTracks"   ""                "RECO"    
edm::DetSetVector<TotemTimingRecHit>    "totemTimingRecHits"        ""                "RECO"    
edm::DetSetVector<TotemVFATStatus>    "ctppsDiamondRawToDigi"     "TimingDiamond"   "RECO"    
edm::DetSetVector<TotemVFATStatus>    "totemRPRawToDigi"          "TrackingStrip"   "RECO"    
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "displacedGlobalMuons"      ""                "RECO"    
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "displacedMuonReducedTrackExtras"   ""                "RECO"    
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "displacedStandAloneMuons"   ""                "RECO"    
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "muonReducedTrackExtras"    ""                "RECO"    
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "refittedStandAloneMuons"   ""                "RECO"    
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "standAloneMuons"           ""                "RECO"    
edm::RangeMap<CSCDetId,edm::OwnVector<CSCSegment,edm::ClonePolicy<CSCSegment> >,edm::ClonePolicy<CSCSegment> >    "cscSegments"               ""                "RECO"    
edm::RangeMap<DTChamberId,edm::OwnVector<DTRecSegment4D,edm::ClonePolicy<DTRecSegment4D> >,edm::ClonePolicy<DTRecSegment4D> >    "dt4DCosmicSegments"        ""                "RECO"    
edm::RangeMap<DTChamberId,edm::OwnVector<DTRecSegment4D,edm::ClonePolicy<DTRecSegment4D> >,edm::ClonePolicy<DTRecSegment4D> >    "dt4DSegments"              ""                "RECO"    
edm::RangeMap<GEMDetId,edm::OwnVector<GEMRecHit,edm::ClonePolicy<GEMRecHit> >,edm::ClonePolicy<GEMRecHit> >    "gemRecHits"                ""                "RECO"    
edm::RangeMap<GEMDetId,edm::OwnVector<GEMSegment,edm::ClonePolicy<GEMSegment> >,edm::ClonePolicy<GEMSegment> >    "gemSegments"               ""                "RECO"    
edm::RangeMap<RPCDetId,edm::OwnVector<RPCRecHit,edm::ClonePolicy<RPCRecHit> >,edm::ClonePolicy<RPCRecHit> >    "rpcRecHits"                ""                "RECO"    
edm::SortedCollection<CaloTower,edm::StrictWeakOrdering<CaloTower> >    "towerMaker"                ""                "RECO"    
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "reducedEcalRecHitsEB"      ""                "RECO"    
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "reducedEcalRecHitsEE"      ""                "RECO"    
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "reducedEcalRecHitsES"      ""                "RECO"    
edm::SortedCollection<HBHERecHit,edm::StrictWeakOrdering<HBHERecHit> >    "reducedHcalRecHits"        "hbhereco"        "RECO"    
edm::SortedCollection<HFRecHit,edm::StrictWeakOrdering<HFRecHit> >    "reducedHcalRecHits"        "hfreco"          "RECO"    
edm::SortedCollection<HORecHit,edm::StrictWeakOrdering<HORecHit> >    "reducedHcalRecHits"        "horeco"          "RECO"    
edm::SortedCollection<ZDCDataFrame,edm::StrictWeakOrdering<ZDCDataFrame> >    "hcalDigis"                 ""                "RECO"    
edm::SortedCollection<ZDCRecHit,edm::StrictWeakOrdering<ZDCRecHit> >    "zdcreco"                   ""                "RECO"    
edm::TriggerResults                   "TriggerResults"            ""                "RECO"    
edm::ValueMap<bool>                   "chargedHadronPFTrackIsolation"   ""                "RECO"    
edm::ValueMap<bool>                   "PhotonIDProd"              "PhotonCutBasedIDLoose"   "RECO"    
edm::ValueMap<bool>                   "PhotonIDProdGED"           "PhotonCutBasedIDLoose"   "RECO"    
edm::ValueMap<bool>                   "PhotonIDProd"              "PhotonCutBasedIDLooseEM"   "RECO"    
edm::ValueMap<bool>                   "PhotonIDProdGED"           "PhotonCutBasedIDLooseEM"   "RECO"    
edm::ValueMap<bool>                   "PhotonIDProd"              "PhotonCutBasedIDTight"   "RECO"    
edm::ValueMap<bool>                   "PhotonIDProdGED"           "PhotonCutBasedIDTight"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidAllArbitrated"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidGMStaChiCompatibility"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidGMTkChiCompatibility"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidGMTkKinkTight"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidGlobalMuonPromptTight"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidRPCMuLoose"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTM2DCompatibilityLoose"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTM2DCompatibilityTight"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationAngLoose"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationAngTight"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationLoose"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationOptimizedLowPtLoose"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationOptimizedLowPtTight"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationTight"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTMOneStationAngLoose"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTMOneStationAngTight"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTMOneStationLoose"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTMOneStationTight"   "RECO"    
edm::ValueMap<bool>                   "muons"                     "muidTrackerMuonArbitrated"   "RECO"    
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFMeanDRIsoValueCharged03"   "RECO"    
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFMeanDRIsoValueCharged04"   "RECO"    
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFMeanDRIsoValueChargedAll03"   "RECO"    
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFMeanDRIsoValueChargedAll04"   "RECO"    
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFMeanDRIsoValueGamma03"   "RECO"    
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFMeanDRIsoValueGamma04"   "RECO"    
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFMeanDRIsoValueGammaHighThreshold03"   "RECO"    
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFMeanDRIsoValueGammaHighThreshold04"   "RECO"    
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFMeanDRIsoValueNeutral03"   "RECO"    
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFMeanDRIsoValueNeutral04"   "RECO"    
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFMeanDRIsoValueNeutralHighThreshold03"   "RECO"    
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFMeanDRIsoValueNeutralHighThreshold04"   "RECO"    
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFMeanDRIsoValuePU03"   "RECO"    
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFMeanDRIsoValuePU04"   "RECO"    
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFSumDRIsoValueCharged03"   "RECO"    
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFSumDRIsoValueCharged04"   "RECO"    
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFSumDRIsoValueChargedAll03"   "RECO"    
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFSumDRIsoValueChargedAll04"   "RECO"    
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFSumDRIsoValueGamma03"   "RECO"    
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFSumDRIsoValueGamma04"   "RECO"    
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFSumDRIsoValueGammaHighThreshold03"   "RECO"    
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFSumDRIsoValueGammaHighThreshold04"   "RECO"    
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFSumDRIsoValueNeutral03"   "RECO"    
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFSumDRIsoValueNeutral04"   "RECO"    
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFSumDRIsoValueNeutralHighThreshold03"   "RECO"    
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFSumDRIsoValueNeutralHighThreshold04"   "RECO"    
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFSumDRIsoValuePU03"   "RECO"    
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFSumDRIsoValuePU04"   "RECO"    
