    0.108E+02  0.187E+00  0.360E-03  0.169E-01  0.121E+00  0.161E+00  0.184E+00  0.156E+00  0.162E+00  0.146E+00  0.224E+00  0.120E+00  0.237E+00  0.142E+00  0.136E+00  0.125E+00  0.255E+00  0.181E+00  0.206E+00  0.132E+00  0.146E+00  0.156E+00  0.154E+00  0.142E+00  0.146E+00  0.147E+00  0.137E+00  0.167E+00  0.228E+00  0.230E+00  0.185E+00  0.202E+00  0.128E+00  0.184E+00  0.233E+00  0.159E+00  0.185E+00  0.199E+00  0.140E+00  0.219E+00  0.319E+00  0.146E+00  0.124E+00  0.193E+00  0.190E+00  0.265E+00  0.250E+00  0.212E+00  0.242E+00  0.278E+00  0.204E+00  0.341E+00  0.260E+00  0.293E+00  0.225E+00  0.272E+00  0.208E+00  0.372E+00  0.249E+00  0.296E+00  0.236E+00  0.298E+00  0.340E+00  0.460E+00
    0.132E+02  0.225E+00  0.710E-03  0.226E-01  0.142E+00  0.188E+00  0.208E+00  0.179E+00  0.189E+00  0.171E+00  0.253E+00  0.143E+00  0.271E+00  0.168E+00  0.159E+00  0.149E+00  0.296E+00  0.208E+00  0.239E+00  0.159E+00  0.168E+00  0.184E+00  0.181E+00  0.166E+00  0.171E+00  0.172E+00  0.160E+00  0.194E+00  0.264E+00  0.267E+00  0.216E+00  0.236E+00  0.149E+00  0.210E+00  0.264E+00  0.184E+00  0.210E+00  0.226E+00  0.165E+00  0.252E+00  0.372E+00  0.169E+00  0.147E+00  0.223E+00  0.224E+00  0.307E+00  0.293E+00  0.249E+00  0.284E+00  0.323E+00  0.240E+00  0.397E+00  0.300E+00  0.336E+00  0.259E+00  0.319E+00  0.243E+00  0.441E+00  0.295E+00  0.343E+00  0.270E+00  0.342E+00  0.404E+00  0.557E+00
    0.168E+02  0.275E+00  0.100E-02  0.276E-01  0.170E+00  0.215E+00  0.246E+00  0.213E+00  0.213E+00  0.202E+00  0.293E+00  0.174E+00  0.313E+00  0.200E+00  0.189E+00  0.175E+00  0.333E+00  0.240E+00  0.270E+00  0.190E+00  0.198E+00  0.217E+00  0.213E+00  0.198E+00  0.205E+00  0.204E+00  0.188E+00  0.227E+00  0.300E+00  0.310E+00  0.246E+00  0.276E+00  0.182E+00  0.245E+00  0.301E+00  0.213E+00  0.243E+00  0.265E+00  0.194E+00  0.286E+00  0.426E+00  0.202E+00  0.179E+00  0.263E+00  0.264E+00  0.358E+00  0.338E+00  0.286E+00  0.325E+00  0.372E+00  0.275E+00  0.457E+00  0.338E+00  0.383E+00  0.297E+00  0.369E+00  0.282E+00  0.510E+00  0.332E+00  0.391E+00  0.307E+00  0.392E+00  0.464E+00  0.670E+00
    0.216E+02  0.315E+00  0.210E-02  0.315E-01  0.204E+00  0.254E+00  0.276E+00  0.253E+00  0.250E+00  0.239E+00  0.336E+00  0.209E+00  0.363E+00  0.239E+00  0.223E+00  0.209E+00  0.381E+00  0.277E+00  0.314E+00  0.226E+00  0.230E+00  0.256E+00  0.252E+00  0.232E+00  0.238E+00  0.238E+00  0.220E+00  0.264E+00  0.344E+00  0.357E+00  0.282E+00  0.313E+00  0.213E+00  0.284E+00  0.344E+00  0.249E+00  0.274E+00  0.303E+00  0.231E+00  0.326E+00  0.484E+00  0.239E+00  0.214E+00  0.306E+00  0.305E+00  0.393E+00  0.378E+00  0.327E+00  0.368E+00  0.422E+00  0.317E+00  0.529E+00  0.382E+00  0.440E+00  0.333E+00  0.416E+00  0.322E+00  0.570E+00  0.383E+00  0.436E+00  0.346E+00  0.445E+00  0.526E+00  0.750E+00
    0.264E+02  0.350E+00  0.360E-02  0.351E-01  0.234E+00  0.282E+00  0.307E+00  0.286E+00  0.278E+00  0.268E+00  0.364E+00  0.237E+00  0.395E+00  0.269E+00  0.254E+00  0.240E+00  0.406E+00  0.308E+00  0.348E+00  0.259E+00  0.259E+00  0.292E+00  0.284E+00  0.264E+00  0.270E+00  0.266E+00  0.247E+00  0.295E+00  0.372E+00  0.390E+00  0.316E+00  0.348E+00  0.241E+00  0.308E+00  0.362E+00  0.276E+00  0.303E+00  0.333E+00  0.260E+00  0.358E+00  0.513E+00  0.272E+00  0.245E+00  0.339E+00  0.345E+00  0.431E+00  0.416E+00  0.361E+00  0.403E+00  0.456E+00  0.347E+00  0.565E+00  0.408E+00  0.469E+00  0.365E+00  0.451E+00  0.360E+00  0.611E+00  0.414E+00  0.471E+00  0.375E+00  0.478E+00  0.570E+00  0.815E+00
    0.320E+02  0.396E+00  0.510E-02  0.397E-01  0.261E+00  0.313E+00  0.329E+00  0.317E+00  0.308E+00  0.297E+00  0.389E+00  0.270E+00  0.428E+00  0.302E+00  0.280E+00  0.268E+00  0.431E+00  0.338E+00  0.372E+00  0.293E+00  0.290E+00  0.322E+00  0.315E+00  0.297E+00  0.303E+00  0.300E+00  0.277E+00  0.324E+00  0.397E+00  0.417E+00  0.345E+00  0.381E+00  0.270E+00  0.343E+00  0.395E+00  0.304E+00  0.332E+00  0.359E+00  0.289E+00  0.389E+00  0.546E+00  0.299E+00  0.272E+00  0.371E+00  0.374E+00  0.458E+00  0.450E+00  0.392E+00  0.427E+00  0.490E+00  0.379E+00  0.595E+00  0.438E+00  0.499E+00  0.394E+00  0.485E+00  0.383E+00  0.648E+00  0.443E+00  0.487E+00  0.408E+00  0.512E+00  0.598E+00  0.861E+00
    0.384E+02  0.446E+00  0.750E-02  0.447E-01  0.294E+00  0.340E+00  0.361E+00  0.346E+00  0.336E+00  0.329E+00  0.422E+00  0.299E+00  0.457E+00  0.335E+00  0.306E+00  0.300E+00  0.462E+00  0.369E+00  0.406E+00  0.322E+00  0.321E+00  0.351E+00  0.345E+00  0.324E+00  0.333E+00  0.326E+00  0.308E+00  0.351E+00  0.427E+00  0.450E+00  0.379E+00  0.412E+00  0.304E+00  0.368E+00  0.420E+00  0.334E+00  0.363E+00  0.386E+00  0.318E+00  0.418E+00  0.567E+00  0.330E+00  0.306E+00  0.395E+00  0.406E+00  0.482E+00  0.473E+00  0.425E+00  0.465E+00  0.519E+00  0.405E+00  0.619E+00  0.467E+00  0.530E+00  0.423E+00  0.514E+00  0.414E+00  0.669E+00  0.470E+00  0.525E+00  0.434E+00  0.537E+00  0.630E+00  0.904E+00
    0.448E+02  0.509E+00  0.910E-02  0.500E-01  0.314E+00  0.370E+00  0.391E+00  0.369E+00  0.354E+00  0.348E+00  0.438E+00  0.320E+00  0.484E+00  0.358E+00  0.336E+00  0.326E+00  0.485E+00  0.391E+00  0.432E+00  0.342E+00  0.341E+00  0.375E+00  0.371E+00  0.349E+00  0.358E+00  0.349E+00  0.330E+00  0.378E+00  0.447E+00  0.479E+00  0.398E+00  0.434E+00  0.320E+00  0.387E+00  0.437E+00  0.356E+00  0.385E+00  0.406E+00  0.342E+00  0.437E+00  0.586E+00  0.348E+00  0.325E+00  0.421E+00  0.428E+00  0.506E+00  0.498E+00  0.450E+00  0.474E+00  0.551E+00  0.426E+00  0.637E+00  0.482E+00  0.546E+00  0.449E+00  0.535E+00  0.439E+00  0.694E+00  0.488E+00  0.545E+00  0.451E+00  0.560E+00  0.646E+00  0.917E+00
    0.544E+02  0.570E+00  0.800E-02  0.561E-01  0.347E+00  0.390E+00  0.412E+00  0.398E+00  0.389E+00  0.384E+00  0.471E+00  0.354E+00  0.506E+00  0.385E+00  0.367E+00  0.356E+00  0.510E+00  0.418E+00  0.455E+00  0.379E+00  0.374E+00  0.411E+00  0.401E+00  0.381E+00  0.383E+00  0.379E+00  0.362E+00  0.408E+00  0.477E+00  0.504E+00  0.427E+00  0.460E+00  0.359E+00  0.422E+00  0.466E+00  0.389E+00  0.411E+00  0.435E+00  0.368E+00  0.469E+00  0.613E+00  0.383E+00  0.361E+00  0.447E+00  0.460E+00  0.536E+00  0.526E+00  0.475E+00  0.507E+00  0.567E+00  0.454E+00  0.666E+00  0.506E+00  0.572E+00  0.473E+00  0.574E+00  0.474E+00  0.712E+00  0.519E+00  0.567E+00  0.481E+00  0.584E+00  0.673E+00  0.954E+00
    0.672E+02  0.601E+00  0.120E-01  0.600E-01  0.387E+00  0.424E+00  0.442E+00  0.429E+00  0.421E+00  0.408E+00  0.487E+00  0.386E+00  0.535E+00  0.420E+00  0.397E+00  0.391E+00  0.528E+00  0.450E+00  0.482E+00  0.413E+00  0.402E+00  0.439E+00  0.430E+00  0.413E+00  0.420E+00  0.411E+00  0.391E+00  0.441E+00  0.497E+00  0.530E+00  0.458E+00  0.484E+00  0.390E+00  0.446E+00  0.484E+00  0.420E+00  0.444E+00  0.466E+00  0.403E+00  0.498E+00  0.631E+00  0.415E+00  0.391E+00  0.476E+00  0.486E+00  0.552E+00  0.545E+00  0.501E+00  0.541E+00  0.596E+00  0.486E+00  0.685E+00  0.527E+00  0.593E+00  0.502E+00  0.587E+00  0.492E+00  0.724E+00  0.544E+00  0.595E+00  0.510E+00  0.600E+00  0.696E+00  0.968E+00
    0.800E+02  0.671E+00  0.130E-01  0.660E-01  0.408E+00  0.453E+00  0.469E+00  0.459E+00  0.449E+00  0.433E+00  0.516E+00  0.413E+00  0.562E+00  0.441E+00  0.421E+00  0.414E+00  0.551E+00  0.469E+00  0.509E+00  0.438E+00  0.429E+00  0.458E+00  0.466E+00  0.440E+00  0.448E+00  0.434E+00  0.419E+00  0.468E+00  0.525E+00  0.554E+00  0.476E+00  0.520E+00  0.415E+00  0.477E+00  0.522E+00  0.440E+00  0.466E+00  0.488E+00  0.439E+00  0.528E+00  0.654E+00  0.437E+00  0.423E+00  0.501E+00  0.519E+00  0.578E+00  0.569E+00  0.520E+00  0.560E+00  0.619E+00  0.501E+00  0.702E+00  0.551E+00  0.608E+00  0.520E+00  0.614E+00  0.521E+00  0.754E+00  0.569E+00  0.615E+00  0.528E+00  0.630E+00  0.709E+00  0.998E+00
    0.950E+02  0.743E+00  0.200E-01  0.740E-01  0.436E+00  0.472E+00  0.489E+00  0.474E+00  0.468E+00  0.454E+00  0.539E+00  0.440E+00  0.578E+00  0.467E+00  0.449E+00  0.433E+00  0.568E+00  0.499E+00  0.529E+00  0.461E+00  0.449E+00  0.482E+00  0.484E+00  0.460E+00  0.468E+00  0.454E+00  0.443E+00  0.488E+00  0.549E+00  0.576E+00  0.505E+00  0.531E+00  0.437E+00  0.496E+00  0.529E+00  0.474E+00  0.487E+00  0.507E+00  0.447E+00  0.535E+00  0.667E+00  0.464E+00  0.451E+00  0.529E+00  0.535E+00  0.595E+00  0.591E+00  0.548E+00  0.569E+00  0.629E+00  0.528E+00  0.713E+00  0.573E+00  0.638E+00  0.539E+00  0.632E+00  0.540E+00  0.746E+00  0.582E+00  0.619E+00  0.550E+00  0.638E+00  0.724E+00  0.101E+01
