    0.108E+02  0.187E+00  0.360E-03  0.169E-01  0.186E+00  0.145E+00  0.141E+00  0.205E+00  0.226E+00  0.200E+00  0.199E+00  0.191E+00  0.167E+00
    0.132E+02  0.225E+00  0.710E-03  0.226E-01  0.211E+00  0.171E+00  0.161E+00  0.223E+00  0.257E+00  0.220E+00  0.221E+00  0.210E+00  0.188E+00
    0.168E+02  0.275E+00  0.100E-02  0.276E-01  0.255E+00  0.203E+00  0.194E+00  0.250E+00  0.295E+00  0.249E+00  0.253E+00  0.243E+00  0.219E+00
    0.216E+02  0.315E+00  0.210E-02  0.315E-01  0.296E+00  0.250E+00  0.229E+00  0.299E+00  0.331E+00  0.286E+00  0.286E+00  0.282E+00  0.261E+00
    0.264E+02  0.350E+00  0.360E-02  0.351E-01  0.328E+00  0.268E+00  0.265E+00  0.331E+00  0.356E+00  0.328E+00  0.325E+00  0.308E+00  0.283E+00
    0.320E+02  0.396E+00  0.510E-02  0.397E-01  0.358E+00  0.302E+00  0.303E+00  0.355E+00  0.388E+00  0.357E+00  0.357E+00  0.329E+00  0.311E+00
    0.384E+02  0.446E+00  0.750E-02  0.447E-01  0.400E+00  0.343E+00  0.342E+00  0.388E+00  0.432E+00  0.391E+00  0.391E+00  0.381E+00  0.348E+00
    0.448E+02  0.509E+00  0.910E-02  0.500E-01  0.414E+00  0.360E+00  0.350E+00  0.416E+00  0.450E+00  0.417E+00  0.403E+00  0.392E+00  0.364E+00
    0.544E+02  0.570E+00  0.800E-02  0.561E-01  0.460E+00  0.416E+00  0.399E+00  0.440E+00  0.482E+00  0.444E+00  0.447E+00  0.439E+00  0.427E+00
    0.672E+02  0.601E+00  0.120E-01  0.600E-01  0.473E+00  0.446E+00  0.443E+00  0.474E+00  0.501E+00  0.467E+00  0.487E+00  0.464E+00  0.461E+00
    0.800E+02  0.671E+00  0.130E-01  0.660E-01  0.518E+00  0.468E+00  0.456E+00  0.498E+00  0.544E+00  0.493E+00  0.518E+00  0.490E+00  0.473E+00
    0.950E+02  0.743E+00  0.200E-01  0.740E-01  0.530E+00  0.495E+00  0.466E+00  0.529E+00  0.574E+00  0.522E+00  0.550E+00  0.497E+00  0.470E+00
