#: table_doi: 10.17182/hepdata.84819.v1/t28
#: name: Table 28
#: description: No description provided.
#: data_file: cov_stat_c0_y0.yaml
#: keyword reactions: PB PB --> JETS X
#: keyword observables: RAA
#: keyword cmenergies: 5020.0
#: keyword phrases: Inclusive | Jet Production
#: R(JETS),0.4
#: RE,PB PB --> JET(S) X
#: ABS(YRAP),|y| < 2.8
#: SQRT(S)/NUCLEON [GeV],5020.0
#: CENTRALITY,0-10 ptc
PT [GEV] [GeV],PT [GEV] [GeV],Correlation
100,100,1.0
100,112,0.7032
100,126,0.04891
100,141,0.2428
100,158,0.1264
100,178,0.0107
100,200,0.02615
100,224,0.00482
100,251,0.001921
100,282,0.0008026
100,316,1.409e-05
100,355,5.575e-05
100,398,7e-06
100,447,1.998e-06
100,501,7.519e-07
100,562,6.418e-08
100,631,1.358e-08
100,708,5.411e-09
100,800,9.32e-10
100,891,4.395e-10
100,1000,3.99e-10
112,100,0.7032
112,112,1.0
112,126,0.6079
112,141,0.0458
112,158,0.2456
112,178,0.07892
112,200,0.03122
112,224,0.02063
112,251,0.0002636
112,282,0.002137
112,316,0.000394
112,355,8.808e-05
112,398,3.305e-05
112,447,1.646e-07
112,501,1.86e-06
112,562,3.305e-07
112,631,3.349e-09
112,708,1.198e-08
112,800,2.864e-09
112,891,1.495e-09
112,1000,1.387e-09
126,100,0.04891
126,112,0.6079
126,126,1.0
126,141,0.5823
126,158,0.1014
126,178,0.2401
126,200,0.03991
126,224,0.03855
126,251,0.0136
126,282,0.002254
126,316,0.001656
126,355,7.918e-05
126,398,8.389e-05
126,447,1.503e-05
126,501,2.74e-06
126,562,1.138e-06
126,631,1.061e-07
126,708,1.756e-08
126,800,8.299e-09
126,891,4.946e-09
126,1000,4.701e-09
141,100,0.2428
141,112,0.0458
141,126,0.5823
141,141,1.0
141,158,0.5411
141,178,0.1565
141,200,0.2169
141,224,0.007023
141,251,0.03689
141,282,0.006595
141,316,0.002896
141,355,0.0009678
141,398,5.511e-05
141,447,5.948e-05
141,501,2.912e-06
141,562,2.446e-06
141,631,5.488e-07
141,708,1.829e-08
141,800,1.871e-08
141,891,1.36e-08
141,1000,1.331e-08
158,100,0.1264
158,112,0.2456
158,126,0.1014
158,141,0.5411
158,158,1.0
158,178,0.493
158,200,0.2005
158,224,0.1849
158,251,0.01449
158,282,0.03148
158,316,0.002096
158,355,0.002771
158,398,0.0004844
158,447,9.95e-05
158,501,3.292e-05
158,562,1.275e-06
158,631,1.706e-06
158,708,2.607e-07
158,800,2.29e-08
158,891,2.849e-08
158,1000,2.932e-08
178,100,0.0107
178,112,0.07892
178,126,0.2401
178,141,0.1565
178,158,0.493
178,178,0.1
178,200,0.4443
178,224,0.231
178,251,0.1527
178,282,0.03001
178,316,0.02456
178,355,0.00108
178,398,0.002122
178,447,0.0001963
178,501,9.34e-05
178,562,1.674e-05
178,631,2.56e-06
178,708,1.131e-06
178,800,7.821e-08
178,891,9.294e-09
178,1000,1.691e-08
200,100,0.02615
200,112,0.03122
200,126,0.03991
200,141,0.2169
200,158,0.2005
200,178,0.4443
200,200,1.0
200,224,0.4012
200,251,0.2475
200,282,0.1215
200,316,0.03673
200,355,0.01801
200,398,0.002262
200,447,0.001642
200,501,1.149e-05
200,562,7.417e-05
200,631,6.417e-06
200,708,2.626e-06
200,800,6.946e-07
200,891,3e-07
200,1000,2.703e-07
224,100,0.00482
224,112,0.02063
224,126,0.03855
224,141,0.007023
224,158,0.1849
224,178,0.231
224,200,0.4012
224,224,1.0
224,251,0.3688
224,282,0.2664
224,316,0.09439
224,355,0.04225
224,398,0.01234
224,447,0.002898
224,501,0.001101
224,562,5.897e-05
224,631,5.263e-05
224,708,1.185e-06
224,800,2.616e-06
224,891,1.761e-06
224,1000,1.711e-06
251,100,0.001921
251,112,0.0002636
251,126,0.0136
251,141,0.03689
251,158,0.01449
251,178,0.1527
251,200,0.2475
251,224,0.3688
251,251,0.1
251,282,0.3313
251,316,0.269
251,355,0.0671
251,398,0.0407
251,447,0.008943
251,501,0.003172
251,562,0.0007633
251,631,9.423e-05
251,708,3.523e-05
251,800,3.19e-06
251,891,4.61e-06
251,1000,4.772e-06
282,100,0.0008026
282,112,0.002137
282,126,0.002254
282,141,0.006595
282,158,0.03148
282,178,0.03001
282,200,0.1215
282,224,0.2664
282,251,0.3313
282,282,0.1
282,316,0.286
282,355,0.2722
282,398,0.04413
282,447,0.03837
282,501,0.004464
282,562,0.002727
282,631,0.0004666
282,708,8.556e-05
282,800,2.255e-05
282,891,6.119e-06
282,1000,4.928e-06
316,100,1.409e-05
316,112,0.000394
316,126,0.001656
316,141,0.002896
316,158,0.002096
316,178,0.02456
316,200,0.03673
316,224,0.09439
316,251,0.269
316,282,0.286
316,316,1.0
316,355,0.2415
316,398,0.2667
316,447,0.03357
316,501,0.03776
316,562,0.002704
316,631,0.002624
316,708,0.0002849
316,800,0.0001163
316,891,8.953e-05
316,1000,8.848e-05
355,100,5.575e-05
355,112,8.808e-05
355,126,7.918e-05
355,141,0.0009678
355,158,0.002771
355,178,0.00108
355,200,0.01801
355,224,0.04225
355,251,0.0671
355,282,0.2722
355,316,0.2415
355,355,1.0
355,398,0.2187
355,447,0.2517
355,501,0.01205
355,562,0.03189
355,631,0.001004
355,708,0.002069
355,800,9.132e-05
355,891,0.0001372
355,1000,0.0001552
398,100,7e-06
398,112,3.305e-05
398,126,8.389e-05
398,141,5.511e-05
398,158,0.0004844
398,178,0.002122
398,200,0.002262
398,224,0.01234
398,251,0.0407
398,282,0.04413
398,316,0.2667
398,355,0.2187
398,398,1.0
398,447,0.2261
398,501,0.2641
398,562,0.008463
398,631,0.03108
398,708,6.294e-05
398,800,0.002199
398,891,0.001311
398,1000,0.001258
447,100,1.998e-06
447,112,1.646e-07
447,126,1.503e-05
447,141,5.948e-05
447,158,9.95e-05
447,178,0.0001963
447,200,0.001642
447,224,0.002898
447,251,0.008943
447,282,0.03837
447,316,0.03357
447,355,0.2517
447,398,0.2261
447,447,1.0
447,501,0.1277
447,562,0.245
447,631,0.005195
447,708,0.02606
447,800,0.002759
447,891,0.005185
447,1000,0.00538
501,100,7.519e-07
501,112,1.86e-06
501,126,2.74e-06
501,141,2.912e-06
501,158,3.292e-05
501,178,9.34e-05
501,200,1.149e-05
501,224,0.001101
501,251,0.003172
501,282,0.004464
501,316,0.03776
501,355,0.01205
501,398,0.2641
501,447,0.1277
501,501,1.0
501,562,0.1608
501,631,0.2242
501,708,0.00641
501,800,0.0247
501,891,0.01398
501,1000,0.01335
562,100,6.418e-08
562,112,3.305e-07
562,126,1.138e-06
562,141,2.446e-06
562,158,1.275e-06
562,178,1.674e-05
562,200,7.417e-05
562,224,5.897e-05
562,251,0.0007633
562,282,0.002727
562,316,0.002704
562,355,0.03189
562,398,0.008463
562,447,0.245
562,501,0.1608
562,562,1.0
562,631,0.1561
562,708,0.2245
562,800,0.02993
562,891,0.06955
562,1000,0.07219
631,100,1.358e-08
631,112,3.349e-09
631,126,1.061e-07
631,141,5.488e-07
631,158,1.706e-06
631,178,2.56e-06
631,200,6.417e-06
631,224,5.263e-05
631,251,9.423e-05
631,282,0.0004666
631,316,0.002624
631,355,0.001004
631,398,0.03108
631,447,0.005195
631,501,0.2242
631,562,0.1561
631,631,1.0
631,708,0.08776
631,800,0.2307
631,891,0.2047
631,1000,0.2031
708,100,5.411e-09
708,112,1.198e-08
708,126,1.756e-08
708,141,1.829e-08
708,158,2.607e-07
708,178,1.131e-06
708,200,2.626e-06
708,224,1.185e-06
708,251,3.523e-05
708,282,8.556e-05
708,316,0.0002849
708,355,0.002069
708,398,6.294e-05
708,447,0.02606
708,501,0.00641
708,562,0.2245
708,631,0.08776
708,708,1.0
708,800,0.0225
708,891,0.1623
708,1000,0.1745
800,100,9.32e-10
800,112,2.864e-09
800,126,8.299e-09
800,141,1.871e-08
800,158,2.29e-08
800,178,7.821e-08
800,200,6.946e-07
800,224,2.616e-06
800,251,3.19e-06
800,282,2.255e-05
800,316,0.0001163
800,355,9.132e-05
800,398,0.002199
800,447,0.002759
800,501,0.0247
800,562,0.02993
800,631,0.2307
800,708,0.0225
800,800,1.0
800,891,0.982
800,1000,0.9795
891,100,4.395e-10
891,112,1.495e-09
891,126,4.946e-09
891,141,1.36e-08
891,158,2.849e-08
891,178,9.294e-09
891,200,3e-07
891,224,1.761e-06
891,251,4.61e-06
891,282,6.119e-06
891,316,8.953e-05
891,355,0.0001372
891,398,0.001311
891,447,0.005185
891,501,0.01398
891,562,0.06955
891,631,0.2047
891,708,0.1623
891,800,0.982
891,891,1.0
891,1000,0.9999
1000,100,3.99e-10
1000,112,1.387e-09
1000,126,4.701e-09
1000,141,1.331e-08
1000,158,2.932e-08
1000,178,1.691e-08
1000,200,2.703e-07
1000,224,1.711e-06
1000,251,4.772e-06
1000,282,4.928e-06
1000,316,8.848e-05
1000,355,0.0001552
1000,398,0.001258
1000,447,0.00538
1000,501,0.01335
1000,562,0.07219
1000,631,0.2031
1000,708,0.1745
1000,800,0.9795
1000,891,0.9999
1000,1000,1.0

