#: table_doi: 10.17182/hepdata.84819.v1/t17
#: name: Table 17
#: description: No description provided.
#: data_file: jetYields_c6_y0.yaml
#: keyword reactions: PB PB --> JETS X
#: keyword observables: D2N/DPT/DYRAP
#: keyword cmenergies: 5020.0
#: keyword phrases: Inclusive | Double Differential Distribution | Transverse Momentum Dependence | Rapidity Dependence | Jet Production
#: R(JETS),,,0.4
#: RE,,,PB PB --> JET(S) X
#: ABS(YRAP),,,|y| < 2.8
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: CENTRALITY,,,60-70 ptc
PT [GEV] [GeV],PT [GEV] [GeV] LOW,PT [GEV] [GeV] HIGH,(1/TAA)(1/NEVT)*D2(NJET)/DPT/DYRAP [nb/GEV],sys +,sys -,stat +,stat -
56.5,50,63,34.69,4.38,-4.04,0.31,-0.31
71.0,63,79,11.41,1.39,-1.39,0.15,-0.15
89.5,79,100,3.52,0.41,-0.4,0.07,-0.07
113.0,100,126,1.001,0.116,-0.112,0.01,-0.01
142.0,126,158,0.2862,0.0311,-0.0309,0.0033,-0.0033
179.0,158,200,0.0718,0.0079,-0.0079,0.0014,-0.0014
225.5,200,251,0.0185,0.0019,-0.0019,0.0006,-0.0006
283.5,251,316,0.00397,0.00048,-0.00049,0.00026,-0.00026
357.0,316,398,0.00087,8e-05,-8e-05,0.00011,-0.00011
449.5,398,501,0.00023,3e-05,-3e-05,5e-05,-5e-05
566.0,501,631,2e-05,2e-06,-2e-06,1.2e-05,-1.2e-05

