#: table_doi: 10.17182/hepdata.84819.v1/t2
#: name: Table 2
#: description: No description provided.
#: data_file: JES.yaml
#: keyword reactions: P P --> JETS X
#: keyword observables: PTRECO / PTTRUTH
#: keyword cmenergies: 5020.0
#: keyword phrases: Inclusive | Double Differential Distribution | Transverse Momentum Dependence | Rapidity Dependence | Jet Production
#: R(JETS),,,0.4
#: RE,,,PB PB --> JET(S) X
#: ABS(YRAP),,,|y| < 2.8
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: CENTRALITY,,,pp
PT [GEV] [GeV],PT [GEV] [GeV] LOW,PT [GEV] [GeV] HIGH,PT RECO / PT TRUTH,stat +,stat -
212.0,200,224,0.9998,0.00028,-0.00028
237.5,224,251,0.9995,0.00027,-0.00027
266.5,251,282,0.99941,0.00028,-0.00028
299.0,282,316,1.00013,0.0003,-0.0003
335.5,316,355,1.00023,0.00031,-0.00031
376.5,355,398,1.0004,0.0004,-0.0004
422.5,398,447,0.99992,0.00017,-0.00017
474.0,447,501,1.00043,0.00016,-0.00016
531.5,501,562,1.00091,0.00018,-0.00018
596.5,562,631,1.00128,0.00021,-0.00021
669.5,631,708,1.00179,0.00027,-0.00027
751.0,708,794,1.0029,0.0004,-0.0004
842.5,794,891,1.0033,0.00013,-0.00013
945.5,891,1000,1.00438,0.00012,-0.00012

#: R(JETS),,,0.4
#: RE,,,PB PB --> JET(S) X
#: ABS(YRAP),,,|y| < 2.8
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: CENTRALITY,,,30-40 ptc
PT [GEV] [GeV],PT [GEV] [GeV] LOW,PT [GEV] [GeV] HIGH,PT RECO / PT TRUTH,stat +,stat -
42.5,40,45,0.9984,0.001,-0.001
47.5,45,50,0.999,0.0009,-0.0009
53.0,50,56,0.9994,0.0008,-0.0008
59.5,56,63,0.9983,0.0007,-0.0007
67.0,63,71,0.9981,0.0006,-0.0006
75.0,71,79,0.9963,0.0006,-0.0006
84.0,79,89,0.9972,0.0005,-0.0005
94.5,89,100,0.9971,0.0005,-0.0005
106.0,100,112,0.9975,0.0004,-0.0004
119.0,112,126,0.9976,0.0004,-0.0004
133.5,126,141,0.9972,0.0004,-0.0004
149.5,141,158,0.9972,0.0004,-0.0004
168.0,158,178,0.99768,0.0003,-0.0003
189.0,178,200,0.99765,0.00028,-0.00028
212.0,200,224,0.99817,0.00026,-0.00026
237.5,224,251,0.99852,0.00026,-0.00026
266.5,251,282,0.99878,0.00027,-0.00027
299.0,282,316,0.99862,0.00029,-0.00029
335.5,316,355,0.99863,0.00031,-0.00031
376.5,355,398,0.99889,0.00035,-0.00035
422.5,398,447,0.99918,0.00017,-0.00017
474.0,447,501,0.99985,0.00016,-0.00016
531.5,501,562,0.99993,0.00019,-0.00019
596.5,562,631,1.00068,0.00021,-0.00021
669.5,631,708,1.00152,0.00027,-0.00027
751.0,708,794,1.0028,0.0004,-0.0004
842.5,794,891,1.00302,0.00013,-0.00013
945.5,891,1000,1.00398,0.00012,-0.00012

#: R(JETS),,,0.4
#: RE,,,PB PB --> JET(S) X
#: ABS(YRAP),,,|y| < 2.8
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: CENTRALITY,,,40-50 ptc
PT [GEV] [GeV],PT [GEV] [GeV] LOW,PT [GEV] [GeV] HIGH,PT RECO / PT TRUTH,stat +,stat -
42.5,40,45,0.9956,0.0012,-0.0012
47.5,45,50,0.9989,0.0011,-0.0011
53.0,50,56,0.9974,0.001,-0.001
59.5,56,63,0.996,0.001,-0.001
67.0,63,71,0.9958,0.0008,-0.0008
75.0,71,79,0.9951,0.0007,-0.0007
84.0,79,89,0.9952,0.0007,-0.0007
94.5,89,100,0.9971,0.0006,-0.0006
106.0,100,112,0.9972,0.0006,-0.0006
119.0,112,126,0.9962,0.0006,-0.0006
133.5,126,141,0.9956,0.0006,-0.0006
149.5,141,158,0.9971,0.0006,-0.0006
168.0,158,178,0.996,0.0004,-0.0004
189.0,178,200,0.9972,0.0004,-0.0004
212.0,200,224,0.9976,0.0004,-0.0004
237.5,224,251,0.9975,0.0004,-0.0004
266.5,251,282,0.9985,0.0004,-0.0004
299.0,282,316,0.9993,0.0004,-0.0004
335.5,316,355,0.9982,0.0004,-0.0004
376.5,355,398,0.9976,0.0005,-0.0005
422.5,398,447,0.99873,0.00024,-0.00024
474.0,447,501,0.99936,0.00023,-0.00023
531.5,501,562,0.99945,0.00026,-0.00026
596.5,562,631,1.00032,0.0003,-0.0003
669.5,631,708,1.0007,0.0004,-0.0004
751.0,708,794,1.0014,0.0005,-0.0005
842.5,794,891,1.00269,0.00019,-0.00019
945.5,891,1000,1.00381,0.00018,-0.00018

#: R(JETS),,,0.4
#: RE,,,PB PB --> JET(S) X
#: ABS(YRAP),,,|y| < 2.8
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: CENTRALITY,,,50-60 ptc
PT [GEV] [GeV],PT [GEV] [GeV] LOW,PT [GEV] [GeV] HIGH,PT RECO / PT TRUTH,stat +,stat -
42.5,40,45,0.9987,0.001,-0.001
47.5,45,50,0.9985,0.0009,-0.0009
53.0,50,56,0.9979,0.0009,-0.0009
59.5,56,63,0.9968,0.0009,-0.0009
67.0,63,71,0.995,0.0008,-0.0008
75.0,71,79,0.9956,0.0007,-0.0007
84.0,79,89,0.9955,0.0006,-0.0006
94.5,89,100,0.9945,0.0006,-0.0006
106.0,100,112,0.9961,0.0006,-0.0006
119.0,112,126,0.9951,0.0006,-0.0006
133.5,126,141,0.9952,0.0006,-0.0006
149.5,141,158,0.9961,0.0006,-0.0006
168.0,158,178,0.9962,0.0004,-0.0004
189.0,178,200,0.9964,0.0004,-0.0004
212.0,200,224,0.9962,0.0004,-0.0004
237.5,224,251,0.9972,0.0004,-0.0004
266.5,251,282,0.9973,0.0004,-0.0004
299.0,282,316,0.9978,0.0004,-0.0004
335.5,316,355,0.9976,0.0005,-0.0005
376.5,355,398,0.9984,0.0005,-0.0005
422.5,398,447,0.99858,0.00023,-0.00023
474.0,447,501,0.99889,0.00022,-0.00022
531.5,501,562,0.99947,0.00025,-0.00025
596.5,562,631,1.00032,0.0003,-0.0003
669.5,631,708,1.0009,0.0004,-0.0004
751.0,708,794,1.0012,0.0005,-0.0005
842.5,794,891,1.00257,0.00019,-0.00019
945.5,891,1000,1.0037,0.00018,-0.00018

#: R(JETS),,,0.4
#: RE,,,PB PB --> JET(S) X
#: ABS(YRAP),,,|y| < 2.8
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: CENTRALITY,,,60-70 ptc
PT [GEV] [GeV],PT [GEV] [GeV] LOW,PT [GEV] [GeV] HIGH,PT RECO / PT TRUTH,stat +,stat -
42.5,40,45,0.9991,0.0009,-0.0009
47.5,45,50,0.9974,0.0008,-0.0008
53.0,50,56,0.9968,0.0008,-0.0008
59.5,56,63,0.9959,0.0008,-0.0008
67.0,63,71,0.9947,0.0007,-0.0007
75.0,71,79,0.9951,0.0006,-0.0006
84.0,79,89,0.9957,0.0006,-0.0006
94.5,89,100,0.9956,0.0006,-0.0006
106.0,100,112,0.9959,0.0005,-0.0005
119.0,112,126,0.9953,0.0005,-0.0005
133.5,126,141,0.9955,0.0005,-0.0005
149.5,141,158,0.995,0.0006,-0.0006
168.0,158,178,0.9953,0.0004,-0.0004
189.0,178,200,0.99559,0.00034,-0.00034
212.0,200,224,0.99684,0.00034,-0.00034
237.5,224,251,0.99642,0.00035,-0.00035
266.5,251,282,0.9973,0.0004,-0.0004
299.0,282,316,0.9977,0.0004,-0.0004
335.5,316,355,0.9975,0.0004,-0.0004
376.5,355,398,0.9972,0.0005,-0.0005
422.5,398,447,0.99823,0.00023,-0.00023
474.0,447,501,0.999,0.00022,-0.00022
531.5,501,562,1.00002,0.00026,-0.00026
596.5,562,631,1.00041,0.0003,-0.0003
669.5,631,708,1.0015,0.0004,-0.0004
751.0,708,794,1.0016,0.0005,-0.0005
842.5,794,891,1.00262,0.00018,-0.00018
945.5,891,1000,1.00391,0.00017,-0.00017

#: R(JETS),,,0.4
#: RE,,,PB PB --> JET(S) X
#: ABS(YRAP),,,|y| < 2.8
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: CENTRALITY,,,70-80 ptc
PT [GEV] [GeV],PT [GEV] [GeV] LOW,PT [GEV] [GeV] HIGH,PT RECO / PT TRUTH,stat +,stat -
42.5,40,45,1.0029,0.0015,-0.0015
47.5,45,50,1.0009,0.0014,-0.0014
53.0,50,56,0.9971,0.0014,-0.0014
59.5,56,63,0.9945,0.0013,-0.0013
67.0,63,71,0.9947,0.0012,-0.0012
75.0,71,79,0.9961,0.0011,-0.0011
84.0,79,89,0.997,0.001,-0.001
94.5,89,100,0.995,0.0009,-0.0009
106.0,100,112,0.9956,0.0009,-0.0009
119.0,112,126,0.9957,0.0009,-0.0009
133.5,126,141,0.9947,0.0009,-0.0009
149.5,141,158,0.996,0.001,-0.001
168.0,158,178,0.9951,0.0007,-0.0007
189.0,178,200,0.9957,0.0006,-0.0006
212.0,200,224,0.9969,0.0006,-0.0006
237.5,224,251,0.9961,0.0006,-0.0006
266.5,251,282,0.9966,0.0006,-0.0006
299.0,282,316,0.9978,0.0007,-0.0007
335.5,316,355,0.9982,0.0008,-0.0008
376.5,355,398,0.9994,0.0008,-0.0008
422.5,398,447,0.9983,0.0004,-0.0004
474.0,447,501,0.9992,0.0004,-0.0004
531.5,501,562,0.9997,0.0004,-0.0004
596.5,562,631,1.0006,0.0005,-0.0005
669.5,631,708,1.0017,0.0006,-0.0006
751.0,708,794,1.0026,0.0009,-0.0009
842.5,794,891,1.00257,0.0003,-0.0003
945.5,891,1000,1.00406,0.0003,-0.0003

