#: table_doi: 10.17182/hepdata.84819.v1/t21
#: name: Table 21
#: description: No description provided.
#: data_file: raa_c2_y0.yaml
#: keyword reactions: PB PB --> JETS X
#: keyword observables: RAA
#: keyword cmenergies: 5020.0
#: keyword phrases: Inclusive | Jet Production
#: R(JETS),,,0.4
#: RE,,,PB PB --> JET(S) X
#: ABS(YRAP),,,|y| < 2.8
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: CENTRALITY,,,20-30 ptc
PT [GEV] [GeV],PT [GEV] [GeV] LOW,PT [GEV] [GeV] HIGH,RAA,sys +,sys -,stat +,stat -,sys TAA uncertainty +,sys TAA uncertainty -,sys luminosity uncertainty +,sys luminosity uncertainty -
84.0,79,89,0.538,0.01,-0.01,0.005,-0.005,0.0201,-0.0201,0.01,-0.01
94.5,89,100,0.562,0.01,-0.01,0.005,-0.005,0.0201,-0.0201,0.011,-0.011
106.0,100,112,0.5769,0.01,-0.0099,0.0035,-0.0035,0.0201,-0.0201,0.0111,-0.0111
118.5,112,125,0.598,0.009,-0.009,0.004,-0.004,0.0201,-0.0201,0.012,-0.012
133.0,125,141,0.617,0.009,-0.009,0.004,-0.004,0.0201,-0.0201,0.012,-0.012
149.5,141,158,0.627,0.009,-0.01,0.005,-0.005,0.0201,-0.0201,0.012,-0.012
167.5,158,177,0.645,0.01,-0.01,0.005,-0.005,0.0201,-0.0201,0.012,-0.012
188.0,177,199,0.671,0.01,-0.01,0.007,-0.007,0.0201,-0.0201,0.013,-0.013
211.0,199,223,0.683,0.011,-0.011,0.009,-0.009,0.0201,-0.0201,0.013,-0.013
237.0,223,251,0.702,0.011,-0.011,0.012,-0.012,0.0201,-0.0201,0.014,-0.014
266.0,251,281,0.723,0.012,-0.012,0.016,-0.016,0.0201,-0.0201,0.014,-0.014
298.5,281,316,0.748,0.013,-0.013,0.023,-0.023,0.0201,-0.0201,0.014,-0.014
357.0,316,398,0.717,0.012,-0.013,0.027,-0.027,0.0201,-0.0201,0.014,-0.014
514.0,398,630,0.8,0.01,-0.01,0.05,-0.05,0.0201,-0.0201,0.02,-0.02

