#: table_doi: 10.17182/hepdata.84819.v1/t3
#: name: Table 3
#: description: No description provided.
#: data_file: JER.yaml
#: keyword reactions: P P --> JETS X
#: keyword observables: SiGMA(PTRECO / PTTRUTH)
#: keyword cmenergies: 5020.0
#: keyword phrases: Inclusive | Double Differential Distribution | Transverse Momentum Dependence | Rapidity Dependence | Jet Production
#: R(JETS),,,0.4
#: RE,,,PB PB --> JET(S) X
#: ABS(YRAP),,,|y| < 2.8
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: CENTRALITY,,,pp
PT [GEV] [GeV],PT [GEV] [GeV] LOW,PT [GEV] [GeV] HIGH,SIGMA(PT RECO / PT TRUTH),stat +,stat -
168.0,158,178,0.0936,0.0004,-0.0004
189.0,178,200,0.08777,0.00034,-0.00034
212.0,200,224,0.08332,0.00033,-0.00033
237.5,224,251,0.07917,0.00032,-0.00032
266.5,251,282,0.07659,0.00034,-0.00034
299.0,282,316,0.0734,0.0004,-0.0004
335.5,316,355,0.0701,0.0004,-0.0004
376.5,355,398,0.0692,0.0004,-0.0004
422.5,398,447,0.06583,0.0002,-0.0002
474.0,447,501,0.0636,0.00018,-0.00018
531.5,501,562,0.06192,0.0002,-0.0002
596.5,562,631,0.05996,0.00024,-0.00024
669.5,631,708,0.05906,0.0003,-0.0003
751.0,708,794,0.0571,0.0004,-0.0004
842.5,794,891,0.05641,0.00015,-0.00015
945.5,891,1000,0.05506,0.00013,-0.00013

#: R(JETS),,,0.4
#: RE,,,PB PB --> JET(S) X
#: ABS(YRAP),,,|y| < 2.8
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: CENTRALITY,,,30-40 ptc
PT [GEV] [GeV],PT [GEV] [GeV] LOW,PT [GEV] [GeV] HIGH,SIGMA(PT RECO / PT TRUTH),stat +,stat -
42.5,40,45,0.2238,0.0013,-0.0013
47.5,45,50,0.1988,0.0011,-0.0011
53.0,50,56,0.178,0.001,-0.001
59.5,56,63,0.162,0.0009,-0.0009
67.0,63,71,0.1483,0.0008,-0.0008
75.0,71,79,0.1372,0.0007,-0.0007
84.0,79,89,0.1277,0.0006,-0.0006
94.5,89,100,0.1179,0.0006,-0.0006
106.0,100,112,0.1099,0.0005,-0.0005
119.0,112,126,0.1045,0.0006,-0.0006
