#: table_doi: 10.17182/hepdata.84819.v1/t32
#: name: Table 32
#: description: No description provided.
#: data_file: cov_stat_c4_y0.yaml
#: keyword reactions: PB PB --> JETS X
#: keyword observables: RAA
#: keyword cmenergies: 5020.0
#: keyword phrases: Inclusive | Jet Production
#: R(JETS),0.4
#: RE,PB PB --> JET(S) X
#: ABS(YRAP),|y| < 2.8
#: SQRT(S)/NUCLEON [GeV],5020.0
#: CENTRALITY,40-50 ptc
PT [GEV] [GeV],PT [GEV] [GeV],Correlation
50,50,1.0
50,56,0.7072
50,63,0.08027
50,71,0.2485
50,79,0.1747
50,89,0.006734
50,100,0.1098
50,112,0.03822
50,126,0.00606
50,141,0.005775
50,158,0.001086
50,178,9.569e-05
50,200,7.426e-05
50,224,1.359e-05
50,251,1.043e-06
50,282,1.313e-08
50,316,3.111e-09
50,355,3.17e-09
50,398,1.018e-09
56,50,0.7072
56,56,1.0
56,63,0.6547
56,71,0.005647
56,79,0.277
56,89,0.2592
56,100,0.09764
56,112,0.08362
56,126,0.007619
56,141,0.006161
56,158,0.002198
56,178,0.0002033
56,200,4.826e-05
56,224,1.618e-05
56,251,1.599e-06
56,282,4.526e-08
56,316,1.802e-08
56,355,3.891e-09
56,398,2.455e-09
63,50,0.08027
63,56,0.6547
63,63,1.0
63,71,0.6037
63,79,0.02369
63,89,0.4689
63,100,0.1339
63,112,0.06148
63,126,0.03962
63,141,0.005007
63,158,0.001999
63,178,0.0009776
63,200,0.0001928
63,224,2.243e-05
63,251,2.909e-06
63,282,7.459e-07
63,316,1.453e-07
63,355,7.448e-09
63,398,4.66e-09
71,50,0.2485
71,56,0.005647
71,63,0.6037
71,71,1.0
71,79,0.6717
71,89,0.08061
71,100,0.5408
71,112,0.1249
71,126,0.06585
71,141,0.0318
71,158,0.002111
71,178,0.001948
71,200,0.000719
71,224,0.0001215
71,251,1.308e-05
71,282,2.023e-06
71,316,4.81e-07
71,355,6.844e-08
71,398,4.219e-09
79,50,0.1747
79,56,0.277
79,63,0.02369
79,71,0.6717
79,79,1.0
79,89,0.5802
79,100,0.6294
79,112,0.2974
79,126,0.04387
79,141,0.04725
79,158,0.007582
79,178,0.002056
79,200,0.00112
79,224,0.0001879
79,251,7.576e-06
79,282,9.139e-08
79,316,8.386e-07
79,355,2.767e-07
79,398,1.938e-08
89,50,0.006734
89,56,0.2592
89,63,0.4689
89,71,0.08061
89,79,0.5802
89,89,1.0
89,100,0.01532
89,112,0.2997
89,126,0.1176
89,141,0.02569
89,158,0.02618
89,178,0.0023
89,200,0.002351
89,224,0.0006282
89,251,4.917e-05
89,282,3.71e-05
89,316,1.567e-06
89,355,1.933e-06
89,398,4.321e-07
100,50,0.1098
100,56,0.09764
100,63,0.1339
100,71,0.5408
100,79,0.6294
100,89,0.01532
100,100,1.0
100,112,0.4945
100,126,0.207
100,141,0.1582
100,158,0.01553
100,178,0.02458
100,200,0.001295
100,224,0.002129
100,251,0.0003249
100,282,9.8e-05
100,316,3.027e-05
100,355,1.315e-06
100,398,1.951e-06
112,50,0.03822
112,56,0.08362
112,63,0.06148
112,71,0.1249
112,79,0.2974
112,89,0.2997
112,100,0.4945
112,112,1.0
112,126,0.3848
112,141,0.2461
112,158,0.1364
112,178,0.03318
112,200,0.02373
112,224,0.001331
112,251,0.002244
112,282,0.0001753
112,316,0.0001055
112,355,2.125e-05
112,398,4.115e-06
126,50,0.00606
126,56,0.007619
126,63,0.03962
126,71,0.06585
126,79,0.04387
126,89,0.1176
126,100,0.207
126,112,0.3848
126,126,1.0
126,141,0.387
126,158,0.2558
126,178,0.1179
126,200,0.0394
126,224,0.01891
126,251,0.002775
126,282,0.001852
126,316,4.923e-05
126,355,9.308e-05
126,398,8.263e-06
141,50,0.005775
141,56,0.006161
141,63,0.005007
141,71,0.0318
141,79,0.04725
141,89,0.02569
141,100,0.1582
141,112,0.2461
141,126,0.387
141,141,1.0
141,158,0.3392
141,178,0.2635
141,200,0.0941
141,224,0.04262
141,251,0.01336
141,282,0.003187
141,316,0.001367
141,355,2.915e-05
141,398,7.314e-05
158,50,0.001086
158,56,0.002198
158,63,0.001999
158,71,0.002111
158,79,0.007582
158,89,0.02618
158,100,0.01553
158,112,0.1364
158,126,0.2558
158,141,0.3392
158,158,1.0
158,178,0.3119
158,200,0.2692
158,224,0.07047
158,251,0.04345
158,282,0.009868
158,316,0.003114
158,355,0.001046
158,398,0.000116
178,50,9.569e-05
178,56,0.0002033
178,63,0.0009776
178,71,0.001948
178,79,0.002056
178,89,0.0023
178,100,0.02458
178,112,0.03318
178,126,0.1179
178,141,0.2635
178,158,0.3119
178,178,1.0
178,200,0.284
178,224,0.2736
178,251,0.04859
178,282,0.04172
178,316,0.007266
178,355,0.003038
178,398,0.0006655
200,50,7.426e-05
200,56,4.826e-05
200,63,0.0001928
200,71,0.000719
200,79,0.00112
200,89,0.002351
200,100,0.001295
200,112,0.02373
200,126,0.0394
200,141,0.0941
200,158,0.2692
