#: table_doi: 10.17182/hepdata.84819.v1/t33
#: name: Table 33
#: description: No description provided.
#: data_file: cov_stat_c5_y0.yaml
#: keyword reactions: PB PB --> JETS X
#: keyword observables: RAA
#: keyword cmenergies: 5020.0
#: keyword phrases: Inclusive | Jet Production
#: R(JETS),0.4
#: RE,PB PB --> JET(S) X
#: ABS(YRAP),|y| < 2.8
#: SQRT(S)/NUCLEON [GeV],5020.0
#: CENTRALITY,50-60 ptc
PT [GEV] [GeV],PT [GEV] [GeV],Correlation
50,50,1.0
50,56,0.6547
50,63,0.02441
50,71,0.2687
50,79,0.1138
50,89,0.0716
50,100,0.08507
50,112,0.01123
50,126,0.00824
50,141,0.003204
50,158,0.0002903
50,178,0.0001044
50,200,3.999e-05
50,224,6.615e-06
50,251,6.583e-07
50,282,4.738e-08
50,316,9.194e-09
50,355,2.467e-09
50,398,5.664e-10
56,50,0.6547
56,56,1.0
56,63,0.6002
56,71,0.09347
56,79,0.2873
56,89,0.1673
56,100,0.1343
56,112,0.06333
56,126,0.003414
56,141,0.006318
56,158,0.00136
56,178,1.688e-05
56,200,6.213e-05
56,224,1.386e-05
56,251,1.48e-06
56,282,5.806e-08
56,316,7.89e-09
56,355,4.337e-09
56,398,1.433e-09
63,50,0.02441
63,56,0.6002
63,63,1.0
63,71,0.5408
63,79,0.1084
63,89,0.4762
63,100,0.03809
63,112,0.08262
63,126,0.0252
63,141,0.0008152
63,158,0.002177
63,178,0.0005791
63,200,7.193e-05
63,224,4.334e-06
63,251,1.035e-06
63,282,4.068e-07
63,316,5.591e-08
63,355,1.613e-09
63,398,3.332e-09
71,50,0.2687
71,56,0.09347
71,63,0.5408
71,71,1.0
71,79,0.6467
71,89,0.1504
71,100,0.5011
71,112,0.06095
71,126,0.06675
71,141,0.02234
71,158,0.0002114
71,178,0.001722
71,200,0.0004874
71,224,7.252e-05
71,251,9.18e-06
71,282,1.669e-06
71,316,2.942e-07
71,355,2.707e-08
71,398,5.445e-09
79,50,0.1138
79,56,0.2873
79,63,0.1084
79,71,0.6467
79,79,1.0
79,89,0.5355
79,100,0.6494
79,112,0.2261
79,126,0.06016
79,141,0.03852
79,158,0.003654
79,178,0.002194
79,200,0.0008107
79,224,0.0001073
79,251,4.437e-06
79,282,1.008e-06
79,316,7.459e-07
79,355,1.584e-07
79,398,4.261e-09
89,50,0.0716
89,56,0.1673
89,63,0.4762
89,71,0.1504
89,79,0.5355
89,89,1.0
89,100,0.04341
89,112,0.2891
89,126,0.09138
89,141,0.03268
89,158,0.0213
89,178,3.62e-05
89,200,0.002059
89,224,0.0003605
89,251,6.047e-05
89,282,2.49e-05
89,316,1.398e-06
89,355,1.407e-06
89,398,2.521e-07
100,50,0.08507
100,56,0.1343
100,63,0.03809
100,71,0.5011
100,79,0.6494
100,89,0.04341
100,100,1.0
100,112,0.4294
100,126,0.2295
100,141,0.1298
100,158,0.02496
100,178,0.02006
100,200,0.0004302
100,224,0.001824
100,251,0.0001763
100,282,9.291e-05
100,316,1.761e-05
100,355,1.719e-06
100,398,1.423e-06
112,50,0.01123
112,56,0.06333
112,63,0.08262
112,71,0.06095
112,79,0.2261
112,89,0.2891
112,100,0.4294
112,112,1.0
112,126,0.3463
112,141,0.2587
112,158,0.1125
112,178,0.03962
112,200,0.01878
112,224,0.002504
112,251,0.001824
112,282,5.741e-05
112,316,9.7e-05
112,355,1.426e-05
112,398,3.839e-06
126,50,0.00824
126,56,0.003414
126,63,0.0252
126,71,0.06675
126,79,0.06016
126,89,0.09138
126,100,0.2295
126,112,0.3463
126,126,1.0
126,141,0.343
126,158,0.2667
126,178,0.09304
126,200,0.04156
126,224,0.01461
126,251,0.002913
126,282,0.001514
126,316,6.473e-05
126,355,7.56e-05
126,398,4.26e-06
141,50,0.003204
141,56,0.006318
141,63,0.0008152
141,71,0.02234
141,79,0.03852
141,89,0.03268
141,100,0.1298
141,112,0.2587
141,126,0.343
141,141,1.0
141,158,0.3177
141,178,0.2756
141,200,0.07758
141,224,0.04478
141,251,0.01071
141,282,0.003502
141,316,0.001024
141,355,5.519e-05
141,398,6.111e-05
158,50,0.0002903
158,56,0.00136
158,63,0.002177
158,71,0.0002114
158,79,0.003654
158,89,0.0213
158,100,0.02496
158,112,0.1125
158,126,0.2667
158,141,0.3177
158,158,1.0
158,178,0.2893
158,200,0.2671
158,224,0.06042
158,251,0.04157
158,282,0.008218
158,316,0.003579
158,355,0.0008679
158,398,0.0001262
178,50,0.0001044
178,56,1.688e-05
178,63,0.0005791
178,71,0.001722
178,79,0.002194
178,89,3.62e-05
178,100,0.02006
178,112,0.03962
178,126,0.09304
178,141,0.2756
178,158,0.2893
178,178,1.0
178,200,0.2647
178,224,0.2694
178,251,0.04224
178,282,0.04053
178,316,0.004058
178,355,0.002571
178,398,0.000555
200,50,3.999e-05
200,56,6.213e-05
200,63,7.193e-05
200,71,0.0004874
200,79,0.0008107
200,89,0.002059
200,100,0.0004302
200,112,0.01878
200,126,0.04156
200,141,0.07758
200,158,0.2671
200,178,0.2647
200,200,1.0
200,224,0.2371
200,251,0.2663
200,282,0.03193
200,316,0.04046
200,355,0.004955
200,398,0.003113
224,50,6.615e-06
224,56,1.386e-05
224,63,4.334e-06
224,71,7.252e-05
224,79,0.0001073
224,89,0.0003605
224,100,0.001824
224,112,0.002504
224,126,0.01461
224,141,0.04478
224,158,0.06042
224,178,0.2694
224,200,0.2371
224,224,1.0
224,251,0.1954
224,282,0.256
224,316,0.009005
224,355,0.03048
224,398,0.001692
251,50,6.583e-07
251,56,1.48e-06
251,63,1.035e-06
251,71,9.18e-06
251,79,4.437e-06
251,89,6.047e-05
251,100,0.0001763
251,112,0.001824
251,126,0.002913
251,141,0.01071
251,158,0.04157
251,178,0.04224
251,200,0.2663
251,224,0.1954
251,251,1.0
251,282,0.1915
251,316,0.2668
251,355,0.0318
251,398,0.03394
282,50,4.738e-08
282,56,5.806e-08
282,63,4.068e-07
282,71,1.669e-06
282,79,1.008e-06
282,89,2.49e-05
282,100,9.291e-05
282,112,5.741e-05
282,126,0.001514
282,141,0.003502
282,158,0.008218
282,178,0.04053
282,200,0.03193
282,224,0.256
282,251,0.1915
282,282,1.0
282,316,0.1292
282,355,0.2039
282,398,0.008901
316,50,9.194e-09
316,56,7.89e-09
316,63,5.591e-08
316,71,2.942e-07
316,79,7.459e-07
316,89,1.398e-06
316,100,1.761e-05
316,112,9.7e-05
316,126,6.473e-05
316,141,0.001024
316,158,0.003579
316,178,0.004058
316,200,0.04046
316,224,0.009005
316,251,0.2668
316,282,0.1292
316,316,0.1
316,355,0.2799
316,398,0.2123
355,50,2.467e-09
355,56,4.337e-09
355,63,1.613e-09
355,71,2.707e-08
355,79,1.584e-07
355,89,1.407e-06
355,100,1.719e-06
355,112,1.426e-05
355,126,7.56e-05
355,141,5.519e-05
355,158,0.0008679
355,178,0.002571
355,200,0.004955
355,224,0.03048
355,251,0.0318
355,282,0.2039
355,316,0.2799
355,355,1.0
355,398,0.154
398,50,5.664e-10
398,56,1.433e-09
398,63,3.332e-09
398,71,5.445e-09
398,79,4.261e-09
398,89,2.521e-07
398,100,1.423e-06
398,112,3.839e-06
398,126,4.26e-06
398,141,6.111e-05
398,158,0.0001262
398,178,0.000555
398,200,0.003113
398,224,0.001692
398,251,0.03394
398,282,0.008901
398,316,0.2123
398,355,0.154
398,398,0.1

