#: table_doi: 10.17182/hepdata.84819.v1/t7
#: name: Table 7
#: description: No description provided.
#: data_file: ppCrossX_y3.yaml
#: keyword reactions: P P --> JETS X
#: keyword observables: D2SIG/DPT/DYRAP
#: keyword cmenergies: 5020.0
#: keyword phrases: Inclusive | Double Differential Cross Section | Transverse Momentum Dependence | Rapidity Dependence | Proton-Proton Scattering | Jet Production
#: R(JETS),,,0.4
#: RE,,,P P --> JET(S) X
#: ABS(YRAP),,,0.8 < |y| < 1.2
#: SQRT(S) [GeV],,,5020.0
PT [GEV] [GeV],PT [GEV] [GeV] LOW,PT [GEV] [GeV] HIGH,D2(SIG)/DPT/DYRAP [NB/GEV],sys +,sys -,stat +,stat -,sys luminosity uncertainty +,sys luminosity uncertainty -
45.0,40,50,161.2,27.2,-26.0,0.6,-0.6,3.0,-3.0
56.5,50,63,52.43,7.8,-7.42,0.18,-0.18,0.98,-0.98
71.0,63,79,16.64,2.16,-2.1,0.06,-0.06,0.31,-0.31
89.5,79,100,5.043,0.597,-0.568,0.016,-0.016,0.095,-0.095
113.0,100,126,1.461,0.162,-0.158,0.004,-0.004,0.027,-0.027
142.0,126,158,0.4063,0.0426,-0.0412,0.0014,-0.0014,0.0076,-0.0076
179.0,158,200,0.1119,0.0114,-0.0113,0.0004,-0.0004,0.0021,-0.0021
225.5,200,251,0.02822,0.00274,-0.00268,0.00017,-0.00017,0.00053,-0.00053
283.5,251,316,0.00678,0.00066,-0.00065,7e-05,-7e-05,0.00013,-0.00013
357.0,316,398,0.001417,0.000137,-0.000137,2.9e-05,-2.9e-05,2.7e-05,-2.7e-05
449.5,398,501,0.000267,2.9e-05,-2.8e-05,1.1e-05,-1.1e-05,5e-06,-5e-06
566.0,501,631,5.4e-05,6e-06,-6e-06,5e-06,-5e-06,1e-06,-1e-06
715.5,631,800,4.4e-06,8e-07,-7e-07,1.1e-06,-1.1e-06,1e-07,-1e-07
900.0,800,1000,2.4e-07,4e-08,-2e-08,2.1e-07,-2.1e-07,0.0,-0.0

