#: table_doi: 10.17182/hepdata.84819.v1/t31
#: name: Table 31
#: description: No description provided.
#: data_file: cov_stat_c3_y0.yaml
#: keyword reactions: PB PB --> JETS X
#: keyword observables: RAA
#: keyword cmenergies: 5020.0
#: keyword phrases: Inclusive | Jet Production
#: R(JETS),0.4
#: RE,PB PB --> JET(S) X
#: ABS(YRAP),|y| < 2.8
#: SQRT(S)/NUCLEON [GeV],5020.0
#: CENTRALITY,30-40 ptc
PT [GEV] [GeV],PT [GEV] [GeV],Correlation
79,79,1.0
79,89,0.6189
79,100,0.6029
79,112,0.3615
79,126,0.01404
79,141,0.0532
79,158,0.01391
79,178,0.001239
79,200,0.001469
79,224,0.000334
79,251,2.234e-05
79,282,1.513e-06
79,316,8.352e-07
79,355,4.668e-07
79,398,7.614e-08
79,447,3.785e-09
79,501,3.243e-09
79,562,6.852e-10
79,631,1.248e-10
89,79,0.6189
89,89,1.0
89,100,0.01667
89,112,0.303
89,126,0.1464
89,141,0.01274
89,158,0.03085
89,178,0.005942
89,200,0.002231
89,224,0.001007
89,251,2.853e-05
89,282,4.931e-05
89,316,6.516e-06
89,355,1.951e-06
89,398,7.353e-07
89,447,5.992e-08
89,501,1.394e-08
89,562,4.978e-09
89,631,1.123e-09
100,79,0.6029
100,89,0.01667
100,100,1.0
100,112,0.5481
100,126,0.1729
100,141,0.1826
100,158,0.0001406
100,178,0.02847
100,200,0.004065
100,224,0.002225
100,251,0.0006343
100,282,6.929e-05
100,316,4.618e-05
100,355,1.7e-06
100,398,2.23e-06
100,447,5.153e-07
100,501,8.871e-09
100,562,1.405e-08
100,631,4.637e-09
112,79,0.3615
112,89,0.303
112,100,0.5481
112,112,0.1
112,126,0.4324
112,141,0.2224
112,158,0.166
112,178,0.02237
112,200,0.02874
112,224,0.001044
112,251,0.002661
112,282,0.0004338
112,316,0.00011
112,355,3.344e-05
112,398,1.617e-06
112,447,2.124e-06
112,501,2.76e-07
112,562,1.417e-08
112,631,1.512e-08
126,79,0.01404
126,89,0.1464
126,100,0.1729
126,112,0.4324
126,126,1.0
126,141,0.4138
126,158,0.2437
126,178,0.1424
126,200,0.03428
126,224,0.02379
126,251,0.001478
126,282,0.002269
126,316,0.0001735
126,355,0.0001034
126,398,1.978e-05
126,447,3.518e-06
126,501,1.336e-06
126,562,1.225e-07
126,631,2.557e-08
141,79,0.0532
141,89,0.01274
141,100,0.1826
141,112,0.2224
141,126,0.4138
141,141,0.1
141,158,0.3835
141,178,0.2575
141,200,0.1154
141,224,0.03875
141,251,0.01829
141,282,0.002453
141,316,0.001762
141,355,3.018e-05
141,398,8.784e-05
141,447,8.668e-06
141,501,3.1e-06
141,562,8.349e-07
141,631,4.946e-08
158,79,0.01391
158,89,0.03085
158,100,0.0001406
158,112,0.166
158,126,0.2437
158,141,0.3835
158,158,0.1
158,178,0.3507
158,200,0.2675
158,224,0.092
158,251,0.04277
158,282,0.01351
158,316,0.003145
158,355,0.001256
158,398,4.819e-05
158,447,6.764e-05
158,501,2.321e-06
158,562,2.458e-06
158,631,5.914e-07
178,79,0.001239
178,89,0.005942
178,100,0.02847
178,112,0.02237
178,126,0.1424
178,141,0.2575
178,158,0.3507
178,178,1.0
178,200,0.3103
178,224,0.2666
178,251,0.06928
178,282,0.04193
178,316,0.009478
178,355,0.003155
178,398,0.0009523
178,447,0.0001025
178,501,4.518e-05
178,562,5.447e-08
178,631,2.308e-06
200,79,0.001469
200,89,0.002231
200,100,0.004065
200,112,0.02874
200,126,0.03428
200,141,0.1154
200,158,0.2675
200,178,0.3103
200,200,1.0
200,224,0.2768
200,251,0.2705
200,282,0.05201
200,316,0.04089
200,355,0.006003
200,398,0.003041
200,447,0.0006275
200,501,0.0001032
200,562,3.246e-05
200,631,2.279e-06
224,79,0.000334
224,89,0.001007
224,100,0.002225
224,112,0.001044
224,126,0.02379
224,141,0.03875
224,158,0.092
224,178,0.2666
224,200,0.2768
224,224,1.0
224,251,0.2509
224,282,0.268
224,316,0.03812
224,355,0.03853
224,398,0.004575
