#: table_doi: 10.17182/hepdata.84819.v1/t34
#: name: Table 34
#: description: No description provided.
#: data_file: cov_stat_c6_y0.yaml
#: keyword reactions: PB PB --> JETS X
#: keyword observables: RAA
#: keyword cmenergies: 5020.0
#: keyword phrases: Inclusive | Jet Production
#: R(JETS),0.4
#: RE,PB PB --> JET(S) X
#: ABS(YRAP),|y| < 2.8
#: SQRT(S)/NUCLEON [GeV],5020.0
#: CENTRALITY,60-70 ptc
PT [GEV] [GeV],PT [GEV] [GeV],Correlation
50,50,1.0
50,56,0.581
50,63,0.1085
50,71,0.2499
50,79,0.06156
50,89,0.1002
50,100,0.05639
50,112,0.001342
50,126,0.007075
50,141,0.001783
50,158,2.683e-05
50,178,8.454e-05
50,200,2.42e-05
50,224,3.333e-06
50,251,3.099e-07
50,282,2.686e-08
50,316,6.673e-09
50,355,1.933e-09
50,398,3.104e-10
56,50,0.581
56,56,1.0
56,63,0.5407
56,71,0.1554
56,79,0.2529
56,89,0.0869
56,100,0.1338
56,112,0.04232
56,126,0.007852
56,141,0.005331
56,158,0.0007727
56,178,9.026e-05
56,200,5.77e-05
56,224,1.058e-05
56,251,1.088e-06
56,282,5.98e-08
56,316,8.999e-09
56,355,4.328e-09
56,398,9.049e-10
63,50,0.1085
63,56,0.5407
63,63,1.0
63,71,0.497
63,79,0.1655
63,89,0.4732
63,100,0.02943
63,112,0.08587
63,126,0.01426
63,141,0.003566
63,158,0.001865
63,178,0.0003243
63,200,1.644e-05
63,224,2.172e-06
63,251,2.097e-07
63,282,2.074e-07
63,316,3.213e-08
63,355,5.323e-09
63,398,2.395e-09
71,50,0.2499
71,56,0.1554
71,63,0.497
71,71,1.0
71,79,0.5874
71,89,0.2104
71,100,0.4481
71,112,0.02436
71,126,0.0627
71,141,0.01659
71,158,0.00106
71,178,0.001442
71,200,0.0003771
71,224,5.347e-05
71,251,7.111e-06
71,282,1.239e-06
71,316,2.242e-07
71,355,1.08e-08
71,398,4.917e-09
79,50,0.06156
79,56,0.2529
79,63,0.1655
79,71,0.5874
79,79,1.0
79,89,0.5317
79,100,0.6645
79,112,0.1872
79,126,0.06887
79,141,0.03357
79,158,0.001706
79,178,0.002053
79,200,0.0006635
79,224,7.952e-05
79,251,4.265e-06
79,282,1.157e-06
79,316,6.078e-07
79,355,1.101e-07
79,398,2.021e-09
89,50,0.1002
89,56,0.0869
89,63,0.4732
89,71,0.2104
89,79,0.5317
89,89,1.0
89,100,0.08113
89,112,0.283
89,126,0.06981
89,141,0.03662
89,158,0.01724
89,178,0.001046
89,200,0.001798
89,224,0.0002131
89,251,6.265e-05
89,282,1.751e-05
89,316,1.44e-06
89,355,1.384e-06
89,398,1.536e-07
100,50,0.05639
100,56,0.1338
100,63,0.02943
100,71,0.4481
100,79,0.6645
100,89,0.08113
100,100,1.0
100,112,0.3813
100,126,0.2432
100,141,0.1113
100,158,0.02944
100,178,0.01644
100,200,0.001296
100,224,0.001504
100,251,8.77e-05
100,282,7.887e-05
100,316,1.471e-05
100,355,3.174e-06
100,398,1.06e-06
112,50,0.001342
112,56,0.04232
112,63,0.08587
112,71,0.02436
112,79,0.1872
112,89,0.283
112,100,0.3813
112,112,0.1
112,126,0.3231
112,141,0.2677
112,158,0.09685
112,178,0.04102
112,200,0.01576
112,224,0.003055
112,251,0.001608
112,282,1.513e-05
112,316,8.542e-05
112,355,7.725e-06
112,398,3.491e-06
126,50,0.007075
126,56,0.007852
126,63,0.01426
126,71,0.0627
126,79,0.06887
126,89,0.06981
126,100,0.2432
126,112,0.3231
126,126,1.0
126,141,0.3247
126,158,0.2697
126,178,0.08003
126,200,0.04286
126,224,0.01144
126,251,0.003079
126,282,0.001273
126,316,2.908e-05
126,355,7.361e-05
126,398,1.814e-06
141,50,0.001783
141,56,0.005331
141,63,0.003566
141,71,0.01659
141,79,0.03357
141,89,0.03662
141,100,0.1113
141,112,0.2677
141,126,0.3247
141,141,1.0
141,158,0.3109
141,178,0.2688
141,200,0.06886
141,224,0.04454
141,251,0.009918
141,282,0.0033
141,316,0.001097
141,355,0.0001138
141,398,5.256e-05
158,50,2.683e-05
158,56,0.0007727
158,63,0.001865
158,71,0.00106
158,79,0.001706
158,89,0.01724
158,100,0.02944
158,112,0.09685
158,126,0.2697
158,141,0.3109
158,158,1.0
158,178,0.2662
158,200,0.2666
158,224,0.04487
158,251,0.04014
158,282,0.007154
158,316,0.003032
158,355,0.0007917
158,398,0.0001276
178,50,8.454e-05
178,56,9.026e-05
178,63,0.0003243
178,71,0.001442
178,79,0.002053
178,89,0.001046
178,100,0.01644
178,112,0.04102
178,126,0.08003
178,141,0.2688
178,158,0.2662
178,178,1.0
178,200,0.2344
178,224,0.2741
178,251,0.03994
178,282,0.03969
178,316,0.005685
178,355,0.003447
178,398,0.0003942
200,50,2.42e-05
200,56,5.77e-05
200,63,1.644e-05
200,71,0.0003771
200,79,0.0006635
200,89,0.001798
200,100,0.001296
200,112,0.01576
200,126,0.04286
200,141,0.06886
200,158,0.2666
200,178,0.2344
200,200,1.0
200,224,0.202
200,251,0.258
