#: table_doi: 10.17182/hepdata.84819.v1/t25
#: name: Table 25
#: description: No description provided.
#: data_file: raa_c6_y0.yaml
#: keyword reactions: PB PB --> JETS X
#: keyword observables: RAA
#: keyword cmenergies: 5020.0
#: keyword phrases: Inclusive | Jet Production
#: R(JETS),,,0.4
#: RE,,,PB PB --> JET(S) X
#: ABS(YRAP),,,|y| < 2.8
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: CENTRALITY,,,60-70 ptc
PT [GEV] [GeV],PT [GEV] [GeV] LOW,PT [GEV] [GeV] HIGH,RAA,sys +,sys -,stat +,stat -,sys TAA uncertainty +,sys TAA uncertainty -,sys luminosity uncertainty +,sys luminosity uncertainty -
53.0,50,56,0.782,0.033,-0.028,0.009,-0.009,0.0763,-0.0763,0.015,-0.015
59.5,56,63,0.819,0.025,-0.023,0.012,-0.012,0.0763,-0.0763,0.016,-0.016
66.5,63,70,0.828,0.019,-0.02,0.014,-0.014,0.0763,-0.0763,0.016,-0.016
74.5,70,79,0.833,0.016,-0.017,0.017,-0.017,0.0763,-0.0763,0.016,-0.016
84.0,79,89,0.861,0.01,-0.01,0.022,-0.022,0.0763,-0.0763,0.017,-0.017
94.5,89,100,0.881,0.007,-0.006,0.027,-0.027,0.0763,-0.0763,0.017,-0.017
106.0,100,112,0.867,0.007,-0.006,0.012,-0.012,0.0763,-0.0763,0.017,-0.017
118.5,112,125,0.869,0.007,-0.009,0.013,-0.013,0.0763,-0.0763,0.017,-0.017
133.0,125,141,0.909,0.007,-0.009,0.014,-0.014,0.0763,-0.0763,0.017,-0.017
149.5,141,158,0.924,0.007,-0.007,0.017,-0.017,0.0763,-0.0763,0.018,-0.018
167.5,158,177,0.874,0.008,-0.007,0.021,-0.021,0.0763,-0.0763,0.017,-0.017
188.0,177,199,0.857,0.008,-0.007,0.027,-0.027,0.0763,-0.0763,0.016,-0.016
225.0,199,251,0.918,0.006,-0.007,0.031,-0.031,0.0763,-0.0763,0.018,-0.018
324.5,251,398,0.86,0.0,-0.0,0.05,-0.05,0.0763,-0.0763,0.02,-0.02

