#: table_doi: 10.17182/hepdata.84819.v1/t19
#: name: Table 19
#: description: No description provided.
#: data_file: raa_c0_y0.yaml
#: keyword reactions: PB PB --> JETS X
#: keyword observables: RAA
#: keyword cmenergies: 5020.0
#: keyword phrases: Inclusive | Jet Production
#: R(JETS),,,0.4
#: RE,,,PB PB --> JET(S) X
#: ABS(YRAP),,,|y| < 2.8
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: CENTRALITY,,,0-10 ptc
PT [GEV] [GeV],PT [GEV] [GeV] LOW,PT [GEV] [GeV] HIGH,RAA,sys +,sys -,stat +,stat -,sys TAA uncertainty +,sys TAA uncertainty -,sys luminosity uncertainty +,sys luminosity uncertainty -
106.0,100,112,0.4381,0.012,-0.0115,0.0019,-0.0019,0.0087,-0.0087,0.0084,-0.0084
118.5,112,125,0.4633,0.012,-0.0119,0.002,-0.002,0.0087,-0.0087,0.0089,-0.0089
133.0,125,141,0.4847,0.012,-0.0123,0.0022,-0.0022,0.0087,-0.0087,0.0093,-0.0093
149.5,141,158,0.5023,0.0118,-0.0121,0.0026,-0.0026,0.0087,-0.0087,0.0097,-0.0097
167.5,158,177,0.5151,0.0116,-0.0116,0.0029,-0.0029,0.0087,-0.0087,0.0099,-0.0099
188.0,177,199,0.535,0.012,-0.012,0.004,-0.004,0.0087,-0.0087,0.01,-0.01
211.0,199,223,0.557,0.014,-0.014,0.005,-0.005,0.0087,-0.0087,0.011,-0.011
237.0,223,251,0.572,0.015,-0.015,0.007,-0.007,0.0087,-0.0087,0.011,-0.011
266.0,251,281,0.561,0.015,-0.015,0.009,-0.009,0.0087,-0.0087,0.011,-0.011
298.5,281,316,0.563,0.015,-0.015,0.012,-0.012,0.0087,-0.0087,0.011,-0.011
335.0,316,354,0.589,0.017,-0.017,0.018,-0.018,0.0087,-0.0087,0.011,-0.011
376.0,354,398,0.589,0.018,-0.018,0.026,-0.026,0.0087,-0.0087,0.011,-0.011
449.5,398,501,0.593,0.016,-0.016,0.031,-0.031,0.0087,-0.0087,0.011,-0.011
565.5,501,630,0.56,0.02,-0.02,0.06,-0.06,0.0087,-0.0087,0.01,-0.01
814.5,630,999,0.62,0.02,-0.02,0.16,-0.16,0.0087,-0.0087,0.01,-0.01

