#: table_doi: 10.17182/hepdata.84819.v1/t18
#: name: Table 18
#: description: No description provided.
#: data_file: jetYields_c7_y0.yaml
#: keyword reactions: PB PB --> JETS X
#: keyword observables: D2N/DPT/DYRAP
#: keyword cmenergies: 5020.0
#: keyword phrases: Inclusive | Double Differential Distribution | Transverse Momentum Dependence | Rapidity Dependence | Jet Production
#: R(JETS),,,0.4
#: RE,,,PB PB --> JET(S) X
#: ABS(YRAP),,,|y| < 2.8
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: CENTRALITY,,,70-80 ptc
PT [GEV] [GeV],PT [GEV] [GeV] LOW,PT [GEV] [GeV] HIGH,(1/TAA)(1/NEVT)*D2(NJET)/DPT/DYRAP [nb/GEV],sys +,sys -,stat +,stat -
56.5,50,63,36.3,4.9,-4.9,0.5,-0.5
71.0,63,79,11.96,1.65,-1.64,0.24,-0.24
89.5,79,100,3.5,0.45,-0.42,0.1,-0.1
113.0,100,126,1.047,0.133,-0.135,0.016,-0.016
142.0,126,158,0.289,0.035,-0.035,0.005,-0.005
179.0,158,200,0.0758,0.0096,-0.0095,0.0023,-0.0023
225.5,200,251,0.0194,0.0022,-0.0022,0.001,-0.001
283.5,251,316,0.0052,0.0006,-0.0006,0.0005,-0.0005
357.0,316,398,0.00099,0.00014,-0.00013,0.00018,-0.00018
449.5,398,501,0.00014,2e-05,-2e-05,6e-05,-6e-05
566.0,501,631,7e-05,1e-05,-1e-05,4e-05,-4e-05

