#: table_doi: 10.17182/hepdata.84819.v1/t10
#: name: Table 10
#: description: No description provided.
#: data_file: ppCrossX_y6.yaml
#: keyword reactions: P P --> JETS X
#: keyword observables: D2SIG/DPT/DYRAP
#: keyword cmenergies: 5020.0
#: keyword phrases: Inclusive | Double Differential Cross Section | Transverse Momentum Dependence | Rapidity Dependence | Proton-Proton Scattering | Jet Production
#: R(JETS),,,0.4
#: RE,,,P P --> JET(S) X
#: ABS(YRAP),,,2.1 < |y| < 2.8
#: SQRT(S) [GeV],,,5020.0
PT [GEV] [GeV],PT [GEV] [GeV] LOW,PT [GEV] [GeV] HIGH,D2(SIG)/DPT/DYRAP [NB/GEV],sys +,sys -,stat +,stat -,sys luminosity uncertainty +,sys luminosity uncertainty -
45.0,40,50,77.6,14.72,-13.91,0.33,-0.33,1.46,-1.46
56.5,50,63,23.22,3.35,-3.16,0.09,-0.09,0.44,-0.44
71.0,63,79,6.857,0.889,-0.871,0.028,-0.028,0.129,-0.129
89.5,79,100,1.778,0.222,-0.221,0.007,-0.007,0.033,-0.033
113.0,100,126,0.4218,0.0521,-0.0489,0.0017,-0.0017,0.0079,-0.0079
142.0,126,158,0.0891,0.015,-0.014,0.0005,-0.0005,0.0017,-0.0017
179.0,158,200,0.01541,0.00184,-0.0018,0.00013,-0.00013,0.00029,-0.00029
225.5,200,251,0.002,0.00028,-0.00027,4e-05,-4e-05,4e-05,-4e-05
283.5,251,316,0.00018,2.8e-05,-2.8e-05,9e-06,-9e-06,3e-06,-3e-06
357.0,316,398,5.7e-06,1.6e-06,-1.6e-06,1.4e-06,-1.4e-06,1e-07,-1e-07

