#: table_doi: 10.17182/hepdata.84819.v1/t22
#: name: Table 22
#: description: No description provided.
#: data_file: raa_c3_y0.yaml
#: keyword reactions: PB PB --> JETS X
#: keyword observables: RAA
#: keyword cmenergies: 5020.0
#: keyword phrases: Inclusive | Jet Production
#: R(JETS),,,0.4
#: RE,,,PB PB --> JET(S) X
#: ABS(YRAP),,,|y| < 2.8
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: CENTRALITY,,,30-40 ptc
PT [GEV] [GeV],PT [GEV] [GeV] LOW,PT [GEV] [GeV] HIGH,RAA,sys +,sys -,stat +,stat -,sys TAA uncertainty +,sys TAA uncertainty -,sys luminosity uncertainty +,sys luminosity uncertainty -
84.0,79,89,0.606,0.008,-0.007,0.006,-0.006,0.0307,-0.0307,0.012,-0.012
94.5,89,100,0.62,0.008,-0.007,0.007,-0.007,0.0307,-0.0307,0.012,-0.012
106.0,100,112,0.647,0.008,-0.008,0.004,-0.004,0.0307,-0.0307,0.012,-0.012
118.5,112,125,0.672,0.008,-0.009,0.005,-0.005,0.0307,-0.0307,0.013,-0.013
133.0,125,141,0.692,0.008,-0.009,0.005,-0.005,0.0307,-0.0307,0.013,-0.013
149.5,141,158,0.711,0.008,-0.008,0.006,-0.006,0.0307,-0.0307,0.014,-0.014
167.5,158,177,0.725,0.008,-0.008,0.007,-0.007,0.0307,-0.0307,0.014,-0.014
188.0,177,199,0.737,0.009,-0.009,0.009,-0.009,0.0307,-0.0307,0.014,-0.014
211.0,199,223,0.754,0.009,-0.009,0.012,-0.012,0.0307,-0.0307,0.015,-0.015
237.0,223,251,0.782,0.01,-0.01,0.017,-0.017,0.0307,-0.0307,0.015,-0.015
283.5,251,316,0.778,0.009,-0.009,0.018,-0.018,0.0307,-0.0307,0.015,-0.015
357.0,316,398,0.76,0.01,-0.01,0.04,-0.04,0.0307,-0.0307,0.01,-0.01
514.0,398,630,0.74,0.01,-0.01,0.07,-0.07,0.0307,-0.0307,0.01,-0.01

