#: table_doi: 10.17182/hepdata.84819.v1/t15
#: name: Table 15
#: description: No description provided.
#: data_file: jetYields_c4_y0.yaml
#: keyword reactions: PB PB --> JETS X
#: keyword observables: D2N/DPT/DYRAP
#: keyword cmenergies: 5020.0
#: keyword phrases: Inclusive | Double Differential Distribution | Transverse Momentum Dependence | Rapidity Dependence | Jet Production
#: R(JETS),,,0.4
#: RE,,,PB PB --> JET(S) X
#: ABS(YRAP),,,|y| < 2.8
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: CENTRALITY,,,40-50 ptc
PT [GEV] [GeV],PT [GEV] [GeV] LOW,PT [GEV] [GeV] HIGH,(1/TAA)(1/NEVT)*D2(NJET)/DPT/DYRAP [nb/GEV],sys +,sys -,stat +,stat -
56.5,50,63,27.15,2.95,-2.9,0.16,-0.16
71.0,63,79,9.19,1.0,-0.96,0.07,-0.07
89.5,79,100,2.887,0.28,-0.269,0.031,-0.031
113.0,100,126,0.854,0.078,-0.076,0.006,-0.006
142.0,126,158,0.2418,0.0226,-0.0219,0.0017,-0.0017
179.0,158,200,0.0648,0.0057,-0.0054,0.0006,-0.0006
225.5,200,251,0.01689,0.00137,-0.00139,0.00027,-0.00027
283.5,251,316,0.0041,0.00038,-0.00036,0.00012,-0.00012
357.0,316,398,0.00065,7e-05,-7e-05,4e-05,-4e-05
449.5,398,501,0.000167,1.2e-05,-1.2e-05,2e-05,-2e-05
566.0,501,631,1.2e-05,2e-06,-2e-06,5e-06,-5e-06
715.5,631,800,2.1e-06,2e-07,-1e-07,1.7e-06,-1.7e-06

