#: table_doi: 10.17182/hepdata.84819.v1/t12
#: name: Table 12
#: description: No description provided.
#: data_file: jetYields_c1_y0.yaml
#: keyword reactions: PB PB --> JETS X
#: keyword observables: D2N/DPT/DYRAP
#: keyword cmenergies: 5020.0
#: keyword phrases: Inclusive | Double Differential Distribution | Transverse Momentum Dependence | Rapidity Dependence | Jet Production
#: R(JETS),,,0.4
#: RE,,,PB PB --> JET(S) X
#: ABS(YRAP),,,|y| < 2.8
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: CENTRALITY,,,10-20 ptc
PT [GEV] [GeV],PT [GEV] [GeV] LOW,PT [GEV] [GeV] HIGH,(1/TAA)(1/NEVT)*D2(NJET)/DPT/DYRAP [nb/GEV],sys +,sys -,stat +,stat -
113.0,100,126,0.5918,0.0541,-0.0543,0.0019,-0.0019
142.0,126,158,0.1745,0.0143,-0.0142,0.0006,-0.0006
179.0,158,200,0.04868,0.00407,-0.00409,0.00023,-0.00023
225.5,200,251,0.0126,0.001,-0.001,0.0001,-0.0001
283.5,251,316,0.003,0.00025,-0.00025,4e-05,-4e-05
357.0,316,398,0.000655,5e-05,-5.2e-05,1.8e-05,-1.8e-05
449.5,398,501,0.000128,1e-05,-1e-05,7e-06,-7e-06
566.0,501,631,1.87e-05,1.7e-06,-1.7e-06,2.5e-06,-2.5e-06
715.5,631,800,3.9e-06,6e-07,-6e-07,1e-06,-1e-06

