#: table_doi: 10.17182/hepdata.84819.v1/t30
#: name: Table 30
#: description: No description provided.
#: data_file: cov_stat_c2_y0.yaml
#: keyword reactions: PB PB --> JETS X
#: keyword observables: RAA
#: keyword cmenergies: 5020.0
#: keyword phrases: Inclusive | Jet Production
#: R(JETS),0.4
#: RE,PB PB --> JET(S) X
#: ABS(YRAP),|y| < 2.8
#: SQRT(S)/NUCLEON [GeV],5020.0
#: CENTRALITY,20-30 ptc
PT [GEV] [GeV],PT [GEV] [GeV],Correlation
79,79,0.1
79,89,0.6717
79,100,0.5466
79,112,0.4324
79,126,0.04435
79,141,0.05309
79,158,0.02392
79,178,0.001684
79,200,0.001713
79,224,0.0006347
79,251,8.025e-05
79,282,2.04e-06
79,316,2.949e-07
79,355,6.896e-07
79,398,2.116e-07
79,447,1.396e-08
79,501,4.776e-09
79,562,1.699e-09
79,631,2.427e-10
89,79,0.6717
89,89,1.0
89,100,0.07957
89,112,0.2917
89,126,0.1917
89,141,0.01567
89,158,0.03345
89,178,0.01277
89,200,0.001014
89,224,0.001549
89,251,0.000242
89,282,5.184e-05
89,316,1.874e-05
89,355,6.326e-07
89,398,1.251e-06
89,447,2.095e-07
89,501,7.055e-09
89,562,9.189e-09
89,631,1.732e-09
100,79,0.5466
100,89,0.07957
100,100,1.0
100,112,0.6225
100,126,0.1023
100,141,0.215
100,158,0.03127
100,178,0.03097
100,200,0.009803
100,224,0.001806
100,251,0.001156
100,282,2.855e-05
100,316,6.926e-05
100,355,1.102e-05
100,398,2.441e-06
100,447,9.941e-07
100,501,7.972e-08
100,562,1.926e-08
100,631,6.282e-09
112,79,0.4324
112,89,0.2917
112,100,0.6225
112,112,1.0
112,126,0.4891
112,141,0.177
112,158,0.1959
112,178,0.0006257
112,200,0.0335
112,224,0.005261
112,251,0.002748
112,282,0.000842
112,316,6.441e-05
112,355,5.573e-05
112,398,2.741e-06
112,447,2.696e-06
112,501,5.555e-07
112,562,9.139e-09
112,631,1.643e-08
126,79,0.04435
126,89,0.1917
126,100,0.1023
126,112,0.4891
126,126,1.0
126,141,0.4689
126,158,0.2136
126,178,0.1757
126,200,0.0201
126,224,0.03021
126,251,0.001199
126,282,0.002744
126,316,0.0004698
126,355,0.0001035
126,398,3.553e-05
126,447,2.078e-06
126,501,1.938e-06
126,562,2.808e-07
126,631,1.937e-08
141,79,0.05309
141,89,0.01567
141,100,0.215
141,112,0.177
141,126,0.4689
141,141,1.0
141,158,0.4254
141,178,0.2391
141,200,0.1452
141,224,0.0323
141,251,0.02387
141,282,0.001219
141,316,0.002235
141,355,0.0002051
