#: table_doi: 10.17182/hepdata.84819.v1/t26
#: name: Table 26
#: description: No description provided.
#: data_file: raa_c7_y0.yaml
#: keyword reactions: PB PB --> JETS X
#: keyword observables: RAA
#: keyword cmenergies: 5020.0
#: keyword phrases: Inclusive | Jet Production
#: R(JETS),,,0.4
#: RE,,,PB PB --> JET(S) X
#: ABS(YRAP),,,|y| < 2.8
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: CENTRALITY,,,70-80 ptc
PT [GEV] [GeV],PT [GEV] [GeV] LOW,PT [GEV] [GeV] HIGH,RAA,sys +,sys -,stat +,stat -,sys TAA uncertainty +,sys TAA uncertainty -,sys luminosity uncertainty +,sys luminosity uncertainty -
53.0,50,56,0.821,0.027,-0.03,0.016,-0.016,0.0953,-0.0953,0.016,-0.016
59.5,56,63,0.853,0.021,-0.024,0.019,-0.019,0.0953,-0.0953,0.016,-0.016
66.5,63,70,0.875,0.018,-0.019,0.023,-0.023,0.0953,-0.0953,0.017,-0.017
74.5,70,79,0.86,0.018,-0.017,0.028,-0.028,0.0953,-0.0953,0.017,-0.017
84.0,79,89,0.857,0.016,-0.014,0.034,-0.034,0.0953,-0.0953,0.016,-0.016
94.5,89,100,0.88,0.01,-0.01,0.04,-0.04,0.0953,-0.0953,0.02,-0.02
106.0,100,112,0.907,0.007,-0.011,0.019,-0.019,0.0953,-0.0953,0.017,-0.017
118.5,112,125,0.905,0.009,-0.01,0.02,-0.02,0.0953,-0.0953,0.017,-0.017
133.0,125,141,0.917,0.01,-0.011,0.022,-0.022,0.0953,-0.0953,0.018,-0.018
149.5,141,158,0.933,0.008,-0.009,0.028,-0.028,0.0953,-0.0953,0.018,-0.018
167.5,158,177,0.926,0.008,-0.008,0.035,-0.035,0.0953,-0.0953,0.018,-0.018
188.0,177,199,0.9,0.01,-0.01,0.04,-0.04,0.0953,-0.0953,0.02,-0.02
225.0,199,251,0.96,0.01,-0.01,0.05,-0.05,0.0953,-0.0953,0.02,-0.02

