#: table_doi: 10.17182/hepdata.84819.v1/t13
#: name: Table 13
#: description: No description provided.
#: data_file: jetYields_c2_y0.yaml
#: keyword reactions: PB PB --> JETS X
#: keyword observables: D2N/DPT/DYRAP
#: keyword cmenergies: 5020.0
#: keyword phrases: Inclusive | Double Differential Distribution | Transverse Momentum Dependence | Rapidity Dependence | Jet Production
#: R(JETS),,,0.4
#: RE,,,PB PB --> JET(S) X
#: ABS(YRAP),,,|y| < 2.8
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: CENTRALITY,,,20-30 ptc
PT [GEV] [GeV],PT [GEV] [GeV] LOW,PT [GEV] [GeV] HIGH,(1/TAA)(1/NEVT)*D2(NJET)/DPT/DYRAP [nb/GEV],sys +,sys -,stat +,stat -
89.5,79,100,2.213,0.211,-0.211,0.013,-0.013
113.0,100,126,0.6744,0.0607,-0.0595,0.0029,-0.0029
142.0,126,158,0.1943,0.0161,-0.0159,0.0009,-0.0009
179.0,158,200,0.05402,0.00433,-0.00435,0.00033,-0.00033
225.5,200,251,0.01392,0.00111,-0.00109,0.00014,-0.00014
283.5,251,316,0.0034,0.00027,-0.00026,6e-05,-6e-05
357.0,316,398,0.00069,5.6e-05,-5.9e-05,2.4e-05,-2.4e-05
449.5,398,501,0.00015,1e-05,-1e-05,1e-05,-1e-05
566.0,501,631,2.8e-05,3e-06,-3e-06,4e-06,-4e-06
715.5,631,800,3.3e-06,4e-07,-4e-07,1.2e-06,-1.2e-06

