#: table_doi: 10.17182/hepdata.84819.v1/t20
#: name: Table 20
#: description: No description provided.
#: data_file: raa_c1_y0.yaml
#: keyword reactions: PB PB --> JETS X
#: keyword observables: RAA
#: keyword cmenergies: 5020.0
#: keyword phrases: Inclusive | Jet Production
#: R(JETS),,,0.4
#: RE,,,PB PB --> JET(S) X
#: ABS(YRAP),,,|y| < 2.8
#: SQRT(S)/NUCLEON [GeV],,,5020.0
#: CENTRALITY,,,10-20 ptc
PT [GEV] [GeV],PT [GEV] [GeV] LOW,PT [GEV] [GeV] HIGH,RAA,sys +,sys -,stat +,stat -,sys TAA uncertainty +,sys TAA uncertainty -,sys luminosity uncertainty +,sys luminosity uncertainty -
106.0,100,112,0.5047,0.0109,-0.011,0.0024,-0.0024,0.0123,-0.0123,0.0097,-0.0097
118.5,112,125,0.5279,0.0106,-0.0109,0.0025,-0.0025,0.0123,-0.0123,0.0102,-0.0102
133.0,125,141,0.5506,0.0109,-0.0111,0.0028,-0.0028,0.0123,-0.0123,0.0106,-0.0106
149.5,141,158,0.5702,0.0108,-0.0109,0.0033,-0.0033,0.0123,-0.0123,0.011,-0.011
167.5,158,177,0.586,0.011,-0.011,0.004,-0.004,0.0123,-0.0123,0.011,-0.011
188.0,177,199,0.595,0.011,-0.011,0.005,-0.005,0.0123,-0.0123,0.011,-0.011
211.0,199,223,0.614,0.012,-0.012,0.006,-0.006,0.0123,-0.0123,0.012,-0.012
237.0,223,251,0.65,0.014,-0.014,0.009,-0.009,0.0123,-0.0123,0.012,-0.012
266.0,251,281,0.648,0.014,-0.014,0.012,-0.012,0.0123,-0.0123,0.012,-0.012
298.5,281,316,0.64,0.014,-0.014,0.017,-0.017,0.0123,-0.0123,0.012,-0.012
357.0,316,398,0.682,0.015,-0.015,0.02,-0.02,0.0123,-0.0123,0.013,-0.013
514.0,398,630,0.66,0.01,-0.01,0.04,-0.04,0.0123,-0.0123,0.01,-0.01

