#             eta             phi             dep             det     cap0     cap1     cap2     cap3      DetId
                8               6               4              HO 10.82645 10.77506 10.72417 10.85050   46012406
                9               6               4              HO 10.05526 10.36010 10.12029 10.58541   46012486
               10               6               4              HO 11.30027 11.47995 11.40134 11.58832   46012506
                5              20               4              HO 10.84399 10.40302 10.55381 10.34204   46012294
                6              20               4              HO 10.45157 10.34574 10.58019 10.61770   46012314
                7              20               4              HO 10.88428 10.80859 10.99217 10.94897   46012394
                8              20               4              HO 10.69711 11.19174 10.66033 10.88385   46012414
                9              20               4              HO 10.91761 11.28007 11.00533 11.03796   46012494
               10              20               4              HO 10.97804 11.14660 10.36848 10.66044   46012514
                5              21               4              HO 10.54939 10.32612 10.35033 10.76979   46012295
                6              21               4              HO 11.41383 11.22110 11.06662 11.06055   46012315
                7              21               4              HO 10.27721 10.57978 10.38412 10.45123   46012395
                8              21               4              HO 10.23116 10.59527 10.47840 10.49948   46012415
                9              21               4              HO 10.34563 10.11594 10.07638 10.54598   46012495
               10              21               4              HO 10.37784 10.67965 10.60810 10.74098   46012515
                5              22               4              HO 10.80890 10.37085 10.28483 10.48681   46012296
                6              22               4              HO 11.47745 10.72112 10.56855 10.66745   46012316
                7              22               4              HO 11.12163 10.91217 11.19335 10.61234   46012396
                8              22               4              HO 11.02918 10.84032 10.66552 11.00389   46012416
                9              22               4              HO 10.11269 10.04241  9.91763 10.22482   46012496
               10              22               4              HO 10.56807 10.33344 10.36317 10.59056   46012516
               29               3               1              HF  4.32066  4.36423  4.48817  4.21361   48006E83
               30               3               1              HF  4.78472  4.72363  4.83672  4.79586   48006F03
               31               3               1              HF  5.19286  4.68046  5.08425  4.68908   48006F83
               32               3               1              HF  4.36823  4.46151  4.61027  4.86018   48007003
               33               3               1              HF  4.45082  4.00307  4.53009  4.57275   48007083
               34               3               1              HF  4.50560  4.34557  4.64563  4.70943   48007103
               35               3               1              HF 107.51352 107.34892 107.53784 107.16816   48007183
               36               3               1              HF 120.14673 120.04287 120.12707 119.92365   48007203
               37               3               1              HF 79.00900 79.00030 79.00071 79.00040   48007283
               38               3               1              HF 79.02549 79.01447 79.01273 79.01418   48007303
               39               3               1              HF  4.55538  4.45158  4.49876  4.57665   48007383
               40               3               1              HF  5.12649  4.86897  5.07332  5.28707   48007403
               29               7               1              HF  4.05315  4.09151  4.34215  4.07392   48006E87
               30               7               1              HF  4.34786  4.09880  4.49303  4.42288   48006F07
               31               7               1              HF  4.67828  4.38428  4.57830  4.45667   48006F87
               32               7               1              HF 118.14515 118.11420 118.06274 117.83539   48007007
               33               7               1              HF  4.45724  4.22795  4.52059  4.43779   48007087
               34               7               1              HF 119.43986 119.34142 119.29408 119.23107   48007107
               35               7               1              HF  4.40827  4.70418  4.44642  4.54404   48007187
               36               7               1              HF  4.87234  4.40338  4.34081  4.59028   48007207
               37               7               1              HF  4.26625  4.77955  5.11655  4.55420   48007287
               38               7               1              HF  3.38815  3.55332  3.53775  3.52610   48007307
               39               7               1              HF  4.70214  4.57652  4.71775  4.14321   48007387
               40               7               1              HF  4.04363  4.73059  4.71561  4.56406   48007407
               29              11               1              HF  4.13865  4.29098  4.32989  4.31641   48006E8B
               30              11               1              HF  4.70040  4.47443  4.75373  4.51822   48006F0B
               31              11               1              HF  4.33448  4.43831  4.67786  4.61342   48006F8B
               32              11               1              HF  4.80836  4.41377  5.22200  4.85300   4800700B
               33              11               1              HF  4.53164  4.61204  4.53191  4.75781   4800708B
               34              11               1              HF  4.89563  4.53833  4.71264  4.79252   4800710B
               38              11               1              HF  3.94530  3.96431  4.30383  4.08231   4800730B
               39              11               1              HF 11.74376 11.91480 12.03576 11.97358   4800738B
               40              11               1              HF  4.02557  4.64958  4.66837  4.36180   4800740B
               29              15               1              HF  4.23016  4.18253  4.56250  4.48568   48006E8F
               30              15               1              HF  4.66928  4.51156  4.13717  4.34059   48006F0F
               31              15               1              HF  4.50024  4.87011  4.61798  4.85191   48006F8F
               32              15               1              HF  4.34781  4.77732  4.49169  4.71485   4800700F
               33              15               1              HF  4.74708  4.88107  4.67931  4.36106   4800708F
               34              15               1              HF  4.32580  4.68508  4.37856  4.14716   4800710F
               35              15               1              HF  4.70703  4.44845  4.56047  4.68179   4800718F
               36              15               1              HF  4.86992  4.55168  5.03652  4.79386   4800720F
               37              15               1              HF  4.79318  4.49850  4.68799  4.45124   4800728F
               38              15               1              HF  0.00000  0.00000  0.00000  0.00000   4800730F
               39              15               1              HF  4.55789  4.50865  4.58541  4.26109   4800738F
               40              15               1              HF  4.81669  4.69901  4.88124  4.34971   4800740F
