    0.108E+02  0.187E+00  0.360E-03  0.169E-01  0.197E+00  0.216E+00  0.315E+00  0.236E+00  0.186E+00  0.191E+00  0.119E+00  0.147E+00  0.139E+00  0.162E+00  0.166E+00  0.156E+00  0.189E+00  0.184E+00  0.256E+00
    0.132E+02  0.225E+00  0.710E-03  0.226E-01  0.236E+00  0.243E+00  0.353E+00  0.269E+00  0.212E+00  0.220E+00  0.142E+00  0.174E+00  0.164E+00  0.197E+00  0.197E+00  0.179E+00  0.222E+00  0.213E+00  0.299E+00
    0.168E+02  0.275E+00  0.100E-02  0.276E-01  0.264E+00  0.284E+00  0.395E+00  0.305E+00  0.243E+00  0.249E+00  0.173E+00  0.213E+00  0.195E+00  0.228E+00  0.229E+00  0.202E+00  0.243E+00  0.240E+00  0.334E+00
    0.216E+02  0.315E+00  0.210E-02  0.315E-01  0.311E+00  0.335E+00  0.453E+00  0.360E+00  0.292E+00  0.291E+00  0.213E+00  0.249E+00  0.247E+00  0.276E+00  0.270E+00  0.243E+00  0.292E+00  0.276E+00  0.374E+00
    0.264E+02  0.350E+00  0.360E-02  0.351E-01  0.338E+00  0.368E+00  0.500E+00  0.381E+00  0.317E+00  0.324E+00  0.240E+00  0.283E+00  0.268E+00  0.295E+00  0.314E+00  0.270E+00  0.320E+00  0.310E+00  0.418E+00
    0.320E+02  0.396E+00  0.510E-02  0.397E-01  0.373E+00  0.391E+00  0.517E+00  0.427E+00  0.342E+00  0.352E+00  0.262E+00  0.323E+00  0.301E+00  0.333E+00  0.355E+00  0.306E+00  0.346E+00  0.345E+00  0.488E+00
    0.384E+02  0.446E+00  0.750E-02  0.447E-01  0.422E+00  0.452E+00  0.560E+00  0.467E+00  0.376E+00  0.393E+00  0.298E+00  0.357E+00  0.347E+00  0.369E+00  0.383E+00  0.340E+00  0.380E+00  0.373E+00  0.508E+00
    0.448E+02  0.509E+00  0.910E-02  0.500E-01  0.462E+00  0.452E+00  0.581E+00  0.476E+00  0.403E+00  0.422E+00  0.322E+00  0.390E+00  0.355E+00  0.394E+00  0.377E+00  0.390E+00  0.380E+00  0.387E+00  0.534E+00
    0.544E+02  0.570E+00  0.800E-02  0.561E-01  0.465E+00  0.485E+00  0.619E+00  0.522E+00  0.446E+00  0.442E+00  0.361E+00  0.428E+00  0.397E+00  0.425E+00  0.418E+00  0.394E+00  0.437E+00  0.439E+00  0.594E+00
    0.672E+02  0.601E+00  0.120E-01  0.600E-01  0.498E+00  0.512E+00  0.665E+00  0.528E+00  0.473E+00  0.478E+00  0.370E+00  0.467E+00  0.427E+00  0.452E+00  0.470E+00  0.448E+00  0.465E+00  0.462E+00  0.592E+00
    0.800E+02  0.671E+00  0.130E-01  0.660E-01  0.542E+00  0.532E+00  0.653E+00  0.561E+00  0.481E+00  0.506E+00  0.422E+00  0.491E+00  0.454E+00  0.501E+00  0.458E+00  0.447E+00  0.491E+00  0.486E+00  0.651E+00
    0.950E+02  0.743E+00  0.200E-01  0.740E-01  0.575E+00  0.568E+00  0.690E+00  0.598E+00  0.511E+00  0.507E+00  0.429E+00  0.506E+00  0.506E+00  0.505E+00  0.526E+00  0.466E+00  0.523E+00  0.536E+00  0.673E+00
