 9.25 0.547 0.0289 0.0672 0.567 0.38 0.376 0.488 0.368 0.26 0.253 0.272 0.228 0.21 0.268 0.218 0.342 0.534 0.473 0.207 0.223 0.348 0.338 0.199 0.268 0.341 0.34 0.316 0.314 0.251 0.257 0.578 0.309 0.214 0.24 0.269 0.258 0.318 0.216 0.225 0.251 0.462 0.258 0.218 0.339 0.236 0.218 0.325 0.484 0.329 0.203 0.285 0.27 0.409 0.232 0.346 0.278 0.269 0.211 0.362 0.423 0.335 0.299 0.245 0.591 0.575 0.701 0.778 0.469 0.482 0.579 0.721 0.538 0.607 0.587 0.736 0.654 0.82 0.841 0.62 0.524 0.514 0.587 1.09 0.757 0.45 0.533 0.545 0.609 0.473 0.422 0.47 0.756 0.616 0.724 0.489 0.446 0.552 0.586 0.488 0.708 0.675 0.49 0.708 0.533 0.577 0.611 0.525 0.591 0.562 0.558 0.62 0.625 0.477 0.818 0.676 0.465 0.825 0.512 0.507 0.663 0.431 0.577 0.699 0.616 0.654 0.618 0.428 0.326 0.632 0.47 0.659 0.425 0.801 0.454 0.606 0.513 0.624 0.514 0.459 0.697 0.489 0.572 0.639
 9.75 0.606 0.0381 0.0766 0.575 0.385 0.378 0.49 0.375 0.264 0.258 0.278 0.232 0.214 0.275 0.222 0.344 0.54 0.478 0.208 0.227 0.352 0.343 0.202 0.275 0.348 0.345 0.318 0.322 0.254 0.26 0.586 0.312 0.22 0.246 0.27 0.262 0.324 0.22 0.232 0.258 0.467 0.258 0.222 0.35 0.24 0.223 0.33 0.49 0.332 0.207 0.287 0.272 0.412 0.234 0.354 0.282 0.274 0.215 0.365 0.426 0.34 0.306 0.249 0.594 0.58 0.706 0.781 0.477 0.494 0.585 0.73 0.541 0.611 0.587 0.74 0.654 0.818 0.839 0.625 0.53 0.519 0.593 1.09 0.756 0.453 0.531 0.543 0.612 0.476 0.428 0.476 0.753 0.617 0.726 0.491 0.448 0.55 0.585 0.489 0.709 0.677 0.493 0.708 0.532 0.578 0.61 0.53 0.59 0.558 0.56 0.619 0.627 0.479 0.816 0.682 0.466 0.826 0.514 0.512 0.664 0.433 0.588 0.697 0.617 0.659 0.623 0.432 0.332 0.631 0.479 0.658 0.43 0.808 0.457 0.611 0.518 0.625 0.518 0.463 0.694 0.491 0.574 0.642
 11 0.523 0.0253 0.0783 0.585 0.396 0.382 0.506 0.391 0.279 0.263 0.289 0.238 0.224 0.281 0.221 0.36 0.55 0.486 0.214 0.236 0.37 0.35 0.206 0.293 0.351 0.358 0.319 0.334 0.256 0.271 0.595 0.309 0.238 0.251 0.275 0.277 0.328 0.234 0.241 0.265 0.476 0.272 0.228 0.361 0.254 0.228 0.335 0.491 0.337 0.224 0.305 0.286 0.428 0.239 0.364 0.284 0.276 0.227 0.379 0.436 0.346 0.314 0.257 0.623 0.581 0.709 0.78 0.477 0.522 0.59 0.724 0.561 0.616 0.596 0.757 0.639 0.814 0.83 0.645 0.544 0.529 0.597 1.06 0.748 0.457 0.524 0.544 0.619 0.483 0.431 0.487 0.743 0.617 0.708 0.491 0.45 0.552 0.581 0.487 0.714 0.655 0.486 0.701 0.533 0.569 0.597 0.533 0.587 0.567 0.554 0.613 0.647 0.48 0.827 0.686 0.462 0.816 0.524 0.524 0.666 0.443 0.599 0.701 0.625 0.68 0.627 0.436 0.347 0.637 0.494 0.665 0.436 0.8 0.457 0.624 0.526 0.635 0.528 0.473 0.684 0.491 0.59 0.643
 13 0.569 0.0512 0.119 0.592 0.41 0.396 0.523 0.409 0.293 0.273 0.294 0.246 0.236 0.287 0.234 0.368 0.559 0.495 0.221 0.244 0.377 0.365 0.212 0.295 0.362 0.366 0.323 0.344 0.273 0.281 0.599 0.322 0.248 0.261 0.284 0.286 0.334 0.251 0.248 0.273 0.49 0.291 0.239 0.38 0.275 0.247 0.347 0.497 0.356 0.232 0.317 0.29 0.436 0.244 0.372 0.294 0.291 0.237 0.39 0.443 0.356 0.321 0.276 0.618 0.597 0.7 0.772 0.488 0.52 0.589 0.724 0.571 0.619 0.608 0.756 0.647 0.82 0.825 0.662 0.554 0.534 0.601 1.03 0.749 0.465 0.535 0.55 0.617 0.489 0.436 0.487 0.736 0.625 0.718 0.495 0.452 0.573 0.577 0.48 0.708 0.647 0.492 0.681 0.546 0.579 0.602 0.528 0.598 0.577 0.552 0.614 0.647 0.478 0.824 0.667 0.474 0.788 0.516 0.523 0.669 0.443 0.595 0.691 0.65 0.681 0.639 0.453 0.353 0.647 0.494 0.67 0.455 0.797 0.471 0.614 0.542 0.633 0.528 0.481 0.682 0.501 0.593 0.652
 15 0.436 0.248 0.122 0.584 0.414 0.4 0.524 0.417 0.296 0.268 0.306 0.254 0.236 0.298 0.237 0.373 0.571 0.506 0.23 0.24 0.384 0.37 0.221 0.304 0.374 0.364 0.338 0.347 0.275 0.287 0.595 0.328 0.25 0.271 0.291 0.291 0.344 0.254 0.264 0.277 0.477 0.297 0.244 0.377 0.272 0.244 0.358 0.491 0.357 0.24 0.319 0.299 0.453 0.254 0.384 0.304 0.295 0.244 0.39 0.454 0.355 0.336 0.275 0.615 0.597 0.694 0.77 0.494 0.514 0.593 0.712 0.554 0.622 0.598 0.743 0.655 0.794 0.832 0.654 0.556 0.544 0.597 0.983 0.723 0.461 0.524 0.542 0.621 0.49 0.44 0.487 0.719 0.622 0.7 0.491 0.454 0.55 0.575 0.491 0.704 0.645 0.497 0.666 0.527 0.555 0.592 0.524 0.583 0.579 0.556 0.61 0.631 0.479 0.804 0.669 0.466 0.771 0.507 0.52 0.663 0.447 0.581 0.673 0.615 0.676 0.615 0.452 0.367 0.64 0.502 0.652 0.433 0.772 0.475 0.618 0.533 0.641 0.53 0.498 0.684 0.499 0.591 0.647
 17 0.628 0.199 0.224 0.607 0.433 0.427 0.551 0.425 0.312 0.283 0.316 0.274 0.248 0.315 0.252 0.395 0.575 0.52 0.238 0.259 0.397 0.384 0.233 0.321 0.399 0.388 0.343 0.356 0.292 0.307 0.602 0.333 0.267 0.279 0.305 0.299 0.353 0.263 0.26 0.289 0.499 0.296 0.259 0.4 0.284 0.266 0.382 0.513 0.364 0.26 0.337 0.316 0.46 0.263 0.406 0.309 0.31 0.267 0.404 0.472 0.384 0.354 0.289 0.633 0.609 0.718 0.774 0.524 0.54 0.613 0.728 0.591 0.631 0.632 0.742 0.655 0.811 0.825 0.666 0.579 0.566 0.618 0.975 0.724 0.474 0.541 0.556 0.626 0.512 0.452 0.494 0.742 0.625 0.7 0.506 0.469 0.583 0.566 0.504 0.703 0.662 0.51 0.689 0.557 0.573 0.613 0.536 0.585 0.585 0.565 0.617 0.645 0.483 0.819 0.667 0.481 0.77 0.516 0.528 0.667 0.463 0.584 0.687 0.636 0.686 0.635 0.472 0.382 0.663 0.516 0.68 0.468 0.782 0.488 0.643 0.563 0.655 0.524 0.506 0.679 0.508 0.612 0.649
 19 0.965 0.476 0.421 0.581 0.422 0.408 0.527 0.407 0.306 0.279 0.325 0.276 0.243 0.316 0.248 0.374 0.552 0.512 0.242 0.253 0.392 0.385 0.229 0.328 0.39 0.374 0.346 0.358 0.279 0.296 0.598 0.342 0.264 0.276 0.304 0.299 0.349 0.266 0.268 0.287 0.493 0.287 0.253 0.38 0.281 0.254 0.363 0.495 0.361 0.243 0.337 0.299 0.45 0.26 0.385 0.309 0.3 0.249 0.405 0.455 0.355 0.336 0.284 0.607 0.603 0.684 0.75 0.496 0.532 0.597 0.701 0.565 0.61 0.587 0.722 0.63 0.784 0.791 0.638 0.554 0.555 0.617 0.925 0.71 0.477 0.516 0.528 0.613 0.483 0.428 0.482 0.702 0.607 0.686 0.49 0.449 0.546 0.564 0.472 0.667 0.645 0.494 0.66 0.52 0.544 0.579 0.522 0.574 0.552 0.542 0.595 0.623 0.464 0.767 0.649 0.459 0.746 0.514 0.521 0.65 0.44 0.57 0.645 0.613 0.659 0.602 0.462 0.371 0.643 0.495 0.645 0.443 0.746 0.47 0.591 0.542 0.625 0.506 0.495 0.652 0.497 0.587 0.629
