    0.108E+02  0.415E+00  0.890E-03  0.343E-01  0.298E+00  0.427E+00  0.363E+00  0.329E+00  0.311E+00  0.634E+00  0.359E+00  0.318E+00  0.507E+00  0.640E+00  0.484E+00  0.404E+00
    0.132E+02  0.457E+00  0.150E-02  0.409E-01  0.324E+00  0.492E+00  0.413E+00  0.366E+00  0.339E+00  0.688E+00  0.418E+00  0.343E+00  0.515E+00  0.686E+00  0.536E+00  0.419E+00
    0.168E+02  0.506E+00  0.210E-02  0.454E-01  0.367E+00  0.541E+00  0.477E+00  0.442E+00  0.382E+00  0.697E+00  0.510E+00  0.398E+00  0.544E+00  0.697E+00  0.622E+00  0.471E+00
    0.216E+02  0.557E+00  0.410E-02  0.477E-01  0.420E+00  0.616E+00  0.531E+00  0.503E+00  0.427E+00  0.723E+00  0.604E+00  0.445E+00  0.555E+00  0.754E+00  0.675E+00  0.502E+00
    0.264E+02  0.600E+00  0.680E-02  0.513E-01  0.472E+00  0.650E+00  0.593E+00  0.519E+00  0.467E+00  0.772E+00  0.632E+00  0.479E+00  0.580E+00  0.792E+00  0.750E+00  0.555E+00
    0.320E+02  0.644E+00  0.920E-02  0.551E-01  0.517E+00  0.702E+00  0.663E+00  0.547E+00  0.501E+00  0.789E+00  0.668E+00  0.497E+00  0.598E+00  0.792E+00  0.766E+00  0.568E+00
    0.384E+02  0.684E+00  0.130E-01  0.590E-01  0.529E+00  0.731E+00  0.663E+00  0.597E+00  0.552E+00  0.825E+00  0.763E+00  0.527E+00  0.617E+00  0.862E+00  0.788E+00  0.589E+00
    0.448E+02  0.746E+00  0.150E-01  0.640E-01  0.543E+00  0.755E+00  0.684E+00  0.598E+00  0.561E+00  0.796E+00  0.743E+00  0.567E+00  0.623E+00  0.815E+00  0.807E+00  0.617E+00
    0.544E+02  0.803E+00  0.130E-01  0.690E-01  0.611E+00  0.791E+00  0.729E+00  0.643E+00  0.583E+00  0.844E+00  0.841E+00  0.584E+00  0.618E+00  0.867E+00  0.834E+00  0.641E+00
    0.672E+02  0.785E+00  0.150E-01  0.680E-01  0.628E+00  0.791E+00  0.749E+00  0.652E+00  0.635E+00  0.850E+00  0.831E+00  0.619E+00  0.677E+00  0.847E+00  0.871E+00  0.623E+00
    0.800E+02  0.823E+00  0.180E-01  0.720E-01  0.636E+00  0.894E+00  0.786E+00  0.732E+00  0.625E+00  0.847E+00  0.887E+00  0.634E+00  0.647E+00  0.839E+00  0.900E+00  0.692E+00
    0.950E+02  0.847E+00  0.240E-01  0.740E-01  0.692E+00  0.864E+00  0.776E+00  0.706E+00  0.636E+00  0.862E+00  0.910E+00  0.616E+00  0.653E+00  0.856E+00  0.861E+00  0.659E+00
